stone	lithiase
medical illness	affection
sample	échantillon
Purpura	Purpura
salvage therapy	sauvetage
ankle	cheville
hypoesthesia	hypoesthésie
dyschondroplasia	dyschondroplasie
dopamin	dopamine
aorta	aorte
barotrauma	barotraumatisme
infection	infection
profiling	profilage
defective	arriéré
Feasibility study	Etude de faisabilité
response curve	courbe de réponse
muscle disorders	troubles musculaires
dissection	dissection
ribs	côtes
consideration	fait
Familial disease	Maladie familiale
gastroenteritis	gastro-entérites
broncoscopy	bronchoscopie
amikacin	amikacine
inflate	gonfler
urinary infection	infection urinaire
Dermatosis	Dermatose
atypical form of	forme fruste de
gallbladder disease	maladie de la vésicule biliaire
arthrolysis	arthrolyse
callus	cal osseux
film	film
Corn	Cor
development	développement
red cell	globule rouge
axilla	aisselle
pathway	Filière
of reproductive age	en âge de procréer
head injury	traumatisme crânien
COMP	COMP
Nomenclature	Nomenclature
heart	coeur
arthropathy	arthropathie
funnel chest	thorax en entonnoir
oleic acid	acide oléique
hormonal therapy	hormonothérapie
Survival analysis	Analyse de survie
anaphylactic	anaphylactique
bottle feeding	alimentation au biberon
degenerative	dégénératif
food poisoning	intoxication alimentaire
ataxia	ataxie
embryology	embryologie
body	corps
intervertebral disk	disque intervertébral
arterial	artériel
Clinical epidemiology	Epidémiologie clinique
liver disease	maladie de foie
follow-up	devenir
palate	palais
PCS	CP
lymphoid follicle	follicule lymphoïde
activity	activité
weaning	sevrage
Albino	Albinos
high blood pressure	hypertension
Event	Evénement
salvage treatment	traitement de rattrapage
Episode	Episode
Vesicoureteral reflux	Reflux vésico-urétéral
Chromatin	Chromatine
chondroma	chondrome
fractures	fractures
palmar fascia	aponévrose palmaire
thrill	frémissement
tularemia	tularémie
engineering	génie
heel	talon
child	enfant
synovial sheath	gaine synoviale
beta blockers	bêta-bloquants
healthy tissue	tissus sains
cancer pain	douleurs néoplasiques
hepatic	hépatique
Australia	Australie
Bimodal distribution	Distribution bimodale
effective	actif
cardiopathy	cardiopathie
ringworm	teigneux
acromion	acromion
lacunar	lacunaire
Antiseptic	Antiseptique
administration	administration
fistula	fistule
colectomy	colectomie
acute interstitial nephritis	néphrite interstitielle aiguë
too fast	trop vite
cement	ciment
antiepileptic	antiépileptique
digoxin	digoxine
tumefaction	tuméfaction
palpebral	palpébral
concurrent	simultanée
antidiabetic	antidiabétique
TB	tuberculose
patient	malade
skull	crâne
clot	caillot
Meta-analysis	Méta-analyse
diaphragmatic hernia	hernie diaphragmatique
heart rate	rythme cardiaque
masturbation	masturbation
epidural fibrosis	fibrose épidurale
endoscopy	endoscopie
Mode	Mode
pleurisy	pleurésie
Wart	Verrue
headache	céphalée
Metoclopramide	Métoclopramide
cardiovascular collapse	collapsus cardiovasculaire
in the field of	dans le domaine de
Psoriasis	Psoriasis
Scabies	Gale
garlic	ail
alkaloid	alcaloïde
angioma	angiome
Multivariate analysis	Analyse multivariée
Homeostasis	Homéostasie
abdominal	abdominal
lungs	poumons
cranberry	canneberge
painful	douloureux
discission	discision
hemodialysis	hémodialyse
cesarean section	accouchement par césarienne
agenesis	agénésie
Contagion	Contagion
Quantitative data	Données quantitatives
diarrhea	diarrhée
pain	douleur
assessment	répartition
tricyclic antidepressants	antidépresseurs tricycliques
angiogram	angiogramme
sputum	expectoration
enzymes	enzymes
Power	Puissance
chondroblast	chondroblaste
normothermia	normothermie
activated charcoal	charbon activé
Precision	Précision
basophil	basophile
Monitoring	Monitorage
abdominal pain	douleur abdominale
angiographic	angiographique
atrial	auriculaire
obstruction	occlusion intestinale
focal	focal
joint capsule	capsule articulaire
kit	trousse
rib	côte
blood clot	caillot sanguin
carotene	carotène
Streptococcus	Streptocoque
astrocyte	astrocyte
device	dispositif
diarrhea	diarrhées
focused	concentré
balm	baume
ascites	ascite
itching	prurit
aortic bifurcation	bifurcation aortique
Transovarial transmission	Transmission transovarienne
yawning	baillement
diaphyseal dysplasia	dysplasie diaphysaire
diabetes	diabète
pneumonia	pneumonie
Parasite	Parasite
defibrillator	défibrillateur
strength	la force
isolation	Isolement
night terrors	terreurs nocturnes
Biostatistics	Biostatistiques
depressed fracture	enfoncement
knee	genou
bradycardia	bradycardies
pelvic	pelvien
Quotient	Quotient
aortic arch	arc aortique
fungistatic	fongistatique
in development	en cours de développement
Allergic reaction	Réaction allergique
Medical care	Soins médicaux
ptosis	ptose
cirrhosis	cirrhose
water balance	bilan hydrique
gastrointestinal	gastrointestinal
respiratory system	appareil respiratoire
Contusion	Contusion
convulsions	convulsions
radiotherapy	radiotherapie
bed rest	repos au lit
aneurysmal	anévrismal
antineuralgic	antinévralgique
antiinflammatory	anti-inflammatoire
Causality	Causalité
antiphlogistic	antiphlogistique
Doppler ultrasonography	echographie doppler
aloe	aloès
impingement	conflit
contrast	contraste
antirheumatic	antirhumatismal
surrogate	porteuse
palsy	paralysie
activities of daily living	activités de la vie quotidienne
Medical record	Dossier médical
acute	aigu
Antigen	Antigène
hair follicle	follicule pileux
strangulated hernia	hernie étranglée
fracture	fracture
strength	concentration
diameter	diamètre
appendectomy	appendicectomie
groin	aine
nerve cell	cellule nerveuse
heart disease	cardiopathie
Whitlow	Panaris
Kent bundle	faisceau de Kent
acetabular	cotyloïdien
ankylosis	ankylose
caesarean section	césarienne
DNA bank	biothèque
antiarrhythmic	antiarythmique
urine dipstick	bandelette urinaire
gastroenterology	gastro-entérologie
Mitosis	Mitose
homocysteine	homocystéine
acquired	acquise
nephritis	nephrite
probe	examiner
straight	droit
Evaluation	Evaluation
vascular tree	arbre vasculaire
COUGH	TOUX
carbohydrates	glucides
antrum	antre
Standardization	Standardisation
trisodium citrate	citrate trisodique
neurological deficit	déficit neurologique
boil	clou
hives	urticaire
hematology	hématologie
breast feeding	allaitement maternel
clinician	clinicien
anatomy	anatomie
Leflunomide	Léflunomide
surrounding	environnant
myocardial ischaemia	ischémie myocardique
coxa vara	coxa vara
cough	toux
disk	disque intervertébral
conventional treatment	traitement conventionnel
changes	altérations
chemiluminescence	chimioluminescence
powdered milk	lait en poudre
contraindicated	contre-indiqué
Peritoneal dialysis	Dialyse péritonéale
cardiotomy	cardiotomie
teeth	dents
Parity	Parité
conduction	conduction
Sampling	Echantillonnage
bacteraemia	bactériémie
capsulotomy	capsulotomie
bursa	bourse
abdominal cavity	cavité abdominale
Hormone replacement therapy	Traitement hormonal de substitution
Correlation	Corrélation
glioblastoma	glioblastome
hallux valgus	hallux valgus
vascular puncture	ponction
threats	menaces
cirrhosis of the liver	cirrhose du foie
knee joint	articulation du genou
Internal validity	Validité interne
blood-brain barrier	barrière hémato-encéphalique
ventricular tachycardias	tachycardies ventriculaires
conductor	chef d'orchestre
Qualitative data	Données qualitatives
carrier	porteur
essential fatty acid	acides gras essentiels
dysostosis	dysostose
wound	plaie
antiseptic	antiseptiques
AP	antéro-postérieur
Gemcitabine	Gemcitabine
gum	gencive
disc disease	discopathie
strain	surcharge
discharge	sortie d'hôpital
criteria	critères
driver	conducteur
anephric	anéphrique
Exelon	Exelon
Erythema	Erythème
ascorbic acid	acide ascorbique
Aesthetic	Esthétique
arthroplasty	arthroplastie
Informed consent	Consentement éclairé
congestion	congestion
antispasmodic	antispasmodique
gram-negative	gram-négatif
lower limbs	membres inferieurs
change	changement
posture	maintien
Strategy	Stratégie
ulnar	cubital
amyotrophy	amyotrophie
Antigenicity	Antigénicité
hemolysis	hemolyse
dialyzer	dialyseur
appendicitis	appendicite
healthy	en bonne santé
anal sex	rapports anaux
Cellulitis	Cellulite
brightness	brillance
Experiment	Expérience
ipsilateral	homolatéral
administrator	administrateur
exogenous	exogène
mental deficiency	déficience mentale
Scale	Echelle
anticoagulant	anticoagulant
exercise	exercice
hardness	dureté
dorsal	dorsal
diagnostic	diagnostique
glycosaminoglycans	glycosaminoglycanes
original	d'origine
Asepsis	Asepsie
outbreak	flambée
blood clots	caillots sanguins
obstructive sleep apnea	apnée obstructive du sommeil
Information	Information
glucose	glucose
amoxicillin	amoxycilline
resuscitation	réanimation
Questionnaire	Questionnaire
Cohort study	Etude de cohorte
category	catégorie
drainage	drainage
neurogenic	d'origine nerveuse
foreign bodies	corps étrangers
Health services	Services de santé
coxofemoral joint	articulation coxo-fémorale
processing	transformation
Factor	Facteur
Mental Health	Santé mentale
agonist	agoniste
ileitis	iléite
deficiency	déficient
Vaccine	Vaccin
kidney stones	calculs rénaux
malaria	paludisme
inflamed	enflammé
Measurement	Mesure
Seborrhea	Séborrhée
meals	repas
bloody diarrhoea	diarrhée sanglante
Doppler	Doppler
genomics	génomique
Health education	Education sanitaire
seizures	crise d'épilepsie
platelet aggregation	agrégation plaquettaire
Mortality statistics	Statistiques de mortalité
workup	bilan
brain tumor	tumeur cérébrale
fascitis	fasciite
ingredient	constituant
peptic	pepsique
glucocorticoid	glucocorticoïde
heat	chaleur
jealousy	jalousie
typology	typologie
Pollution	Pollution
fibrocyte	fibrocyte
TIA	AIT
axoplasm	axoplasme
Histoplasma	Histoplasma
gout	goutteuses
consumable	consommable
atheromatous	athéromateux
CAT scan	tomographie
heredity	hérédité
Census	Recensement
Causes of death	Causes de décès
canaliculus	canalicule
electrodes	électrodes
catheter	cathéter
Independence	Indépendance
Passage	Passage
anaemia	anémie
diathermy	diathermie
Latent infection	Infection latente
hernia	hernie
suddenly	brutalement
flu	grippe
distress	souffrance
competitive inhibition	inhibition compétitive
embolus	embole
coordination	coordination
effectiveness	efficacité
achondroplasia	achondroplasie
Coherence	Cohérence
hereditary	héréditaire
Mass screening	Dépistage de masse
Underestimation	Sous-estimation
antigenicity	antigénicité
Variola	Variole
host	hôte
ST segment	segment ST
overt	franc
greater omentum	grand épiploon
Creatinine	Créatinine
additional doses	doses supplémentaires
valvular disease	valvulopathies
local anaesthesia	anesthésie locale
frostbite	gelures
cilium	cil
procedure	acte
hyperemia	hyperémie
cardiovascular	cardiovasculaire
Risk factor	Facteur de risque
cure	guérison
CAE	CAE
seborrheic alopecia	alopécie séborrhéique
cavity	carie
damage	détérioration
ADL	AVQ
ciprofloxacin	ciprofloxacine
fit	attaque
Methylphenidate	Méthylphénidate
impulsiveness	impulsivité
function	fonction
fibrin	fibrine
infusion	perfusion
autolysis	autolyse
basal cell	cellule basale
hydroxyapatite	hydroxy-apatite
Regression	Régression
hypotension	hypotension
bifurcated	bifurqué
deafness	surdité
hypertonic	hypertonique
Adenomyoma	Adénomyome
edemas	oedèmes
ventricular shunt	dérivation ventriculaire
analogue	analogique
removal	ablation
analyse	analyse
T wave	onde T
Acarid	Acarien
shingle	zona
aponeurosis	aponévrose
bottle	biberon
deployment	déploiement
long-term	de longue durée
coarse	grossier
diabetes mellitus	diabète sucré
inflation	gonflage
corticosteroid	corticostéroïde
Diet	Régime alimentaire
Resolution	Résolution
antibodies	anticorps
low-calorie	hypocalorique
definitive host	hôte définitif
anxiolytic	anxiolytique
baldness	calvitie
recovery	guérison
root canal	canal dentaire
repolarization	repolarisation
lung abscess	abcès pulmonaire
uric acid	acide urique
Huntington's chorea	chorée de Huntington
Pigment	Pigment
dermatology	dermatologie
deformability	déformabilité
Health care	Soins de santé
cells	cellules
discectomy	discectomie
tonsillitis	angine
Therapeutic trial	Essai thérapeutique
pleural effusion	épanchement pleural
hydroxymethyl	hydroxyméthyl
small intestine	intestin grêle
band	bandelette
chondromatosis	chondromatose
intrauterine device	stérilet
Cholera	choléra
atherosclerosis	athérosclérose
coronal	frontal
chicken pox	varicelle
excitability	excitabilité
femoral hernia	hernie crurale
cleidocranial dysostosis	dysostose cléido-crânienne
colonoscopy	coloscopie
gangrene	gangrène
paresis	parésie
erucic acid	acide érucique
table	le tableau
neurological examination	examen neurologique
procedure	déroulement
Macrophage	Macrophage
gram-positive	gram-positif
condyloma acuminata	condylome acuminé
Aphtha	Aphte
complaint	doléance
stresses	contraintes
alleviation	atténuation
aqueous humor	humeur aqueuse
Ulcer	Ulcère
Surveillance	Surveillance
reconstructive surgery	chirurgie reconstructrice
chemotherapeutic	chimiothérapeutique
amenities	commodités
Urinary tract obstruction	Obstruction des voies urinaires
colitis	colite
antiviral	antivirale
Genetic epidemiology	Epidémiologie génétique
arthritis	arthrite
Eczema	Eczéma
mouth wash	collutoire
gastritis	gastrite
antimetabolite	antimétabolite
Efficacy	Utilité
Elimination	Elimination
ulcerative colitis	colite ulcéreuse
ear	oreille
Zoonosis	Zoonose
Measles	Rougeole
pattern	aspect
Hantavirus	Hantavirus
ergot	ergoline
lung cancer	cancer du poumon
case	cas
angiocardiography	angiocardiographie
acetabulum	acetabulum
humanized	humanisé
ampicillin	ampicilline
anthocyanins	anthocyanes
cartridge	cartouche
increase	augmentation
improvement	amélioration
hyperglycaemia	hyperglycémie
platelets	plaquettes
fever	fièvre
kyphosis	cyphose
pudendal nerve	nerf honteux
Staphylococcus	Staphylocoque
Artificial intelligence	Intelligence artificielle
tablet	comprimé
infectious diseases	maladies infectieuses
impaction	enclavement
atonic	atone
Handicap	Handicap
acetabular	acétabulaire
wishes	volontés
Gene	Gène
thrombosis	thrombose
Hazard	Risque
micro-organism	germe
kidney	le rein
Clinical trial	Essai clinique
asthma	asthme
bowel	intestin
migraine	migraine
experience	expérience
training	formation
enzyme	enzyme
trans-fatty acid	acides gras trans
probe	sonde
bleeding	hémorragie
Seasonal variation	Variation saisonnière
dysplasia	dysplasie
Seborrheic dermatitis	Dermatite séborrhéique
C-reactive protein	CRP
atopic dermatitis	eczéma constitutionnel
Confidentiality	Confidentialité
target	cible
furuncle	furoncle
Paradigm	Paradigme
Case	Cas
Prospective study	Etude prospective
gout	goutte
brain tumour	tumeur cérébrale
azithromycin	azithromycine
death	mort
mental activity	activité mentale
purpose	but
cleansing	détersion
Impact	Impact
aconitine	aconitine
Ecchymosis	Ecchymose
cardiac arrhythmias	arythmies cardiaques
smoking	tabagisme
acetate	acétate
sexually transmitted disease	maladie sexuellement transmissible
Lipid	Lipide
Acrokeratosis verruciformis	Acrokératose verruciforme
fatigue	fatigue
empyema	empyème
consumption	consommation
vaginal delivery	accouchement par voie basse
component	composant
cyclooxygenase	cyclo-oxygénase
sealed	fermé
behavioral	comportemental
Encounter	Rencontre
Bias	Biais
Hyperparathyroidism	Hyperparathyroïdisme
cerebral arteriosclerosis	artériosclérose cérébrale
LMWH	HBPM
Lesion	Lésion
Misoprostol	Misoprostol
arterial line	ligne artérielle
artery	artère
embryo	embryon
leukemia	leucemie
Predictive value	Valeur prédictive
coccyx	coccyx
Chronic	Chronique
filter	filtre
Acne rosacea	Acné rosacée
antidepressant	antidépresseur
Locus	Locus
endothelium	endothélium
consent	consentement
Scar	Cicatrice
CEV	CEV
allantoin	allantoïne
breast feeding	allaitement
closed fracture	fracture fermée
hearing aid	auditive
choroiditis	choroïdite
hot flushes	bouffées de chaleur
Population	Population
leukaemia	leucémie
hematological	hématologique
chromatin	chromatine
epilepsy	epilepsie
conformity	conformité
glenoid	glénoïde
fibrositis	fibrosite
cardiology	cardiologie
uterine fibroids	fibromes utérin
Allergy	Allergie
Eruption	Eruption
Cholesteatoma	Cholestéatome
contraindication	contre-indication
heuristic	heuristique
Sensitivity and specificity	Sensibilité et spécificité
Viral hepatitis	Hépatite virale
arrest	arrêt
thyroide	thyroide
cardiac output	débit cardiaque
Finger	Doigt
anticoagulation	anticoagulation
dissociation	dissociation
folliculitis	folliculite
camphor	camphre
emesis	vomissement
arthrography	arthrographie
genu varum	genu varum
arteriosclerosis	artériosclérose
recovery	réanimation
expression	expression
Free radicals	Radicaux libres
hip joint	articulation de la hanche
hydrothorax	hydrothorax
cephalexin	céfalexine
Drift	Dérive
pathogenic bacteria	bactéries pathogènes
Pharmacoepidemiology	Pharmacoépidémiologie
handicapped children	enfants handicapés
phase II study	étude de phase II
mild	bénin
geriatrics	gériatrie
chlorophyll	chlorophylle
second-line	deuxième intention
finger clubbing	hippocratisme digital
gland	glande
hawthorn	aubépine
traceability	traçabilité
angina	angor
oral liquid	buvable
fluorescein	fluorescéine
Urea	Urée
injuries	dommages
thoracic duct	canal thoracique
apparatus	appareil
Smear	Frottis
desmosome	desmosome
Registration	Enregistrement
hypoglycaemic	hypoglycémiant
histopathological	histopathologique
Disease	Maladie
antagonist	antagoniste
Ecology	Ecologie
Geographic pathology	Pathologie géographique
systemic	général
binding	liaison
flexion	flexion
centriole	centriole
skin cancer	cancer de la peau
Multiple regression	Régression multiple
hypocholesterolemic	hypocholestérolémiant
chondroblastoma	chondroblastome
Consanguinity	Consanguinité
Ethics	Ethique
cardiologist	cardiologue
Disposable	à usage unique
Variable	Variable
tinnitus	acouphène
hernioplasty	hernioplastie
running	course
retrospective chart review	analyse rétrospective des dossiers médicaux
diagnose	diagnostiquer
hematomas	hematomes
fasciectomy	fasciectomie
reading	lecture
fibroblast	fibroblaste
early diagnosis	diagnostic précoce
febrifuge	fébrifuge
pregnancy	grossesse
drip	goutte à goutte
genetics	génétique
insult	accident
Protocol	Protocole
stability	statique
serum globulin	globuline sérique
cytometry	cytométrie
SD	écart type
Maternal death	Décès maternel
Bacterial contamination	Contamination bactérienne
benefit	avantage
AI	IA
Dermatological	Dermatologique
hospital	hôpital
Urticaria	Urticaire
bacterium	bactérie
nitrates	dérivés nitrés
condyle	condyle
walker	déambulateur
congenital	congénital
adhesions	adhérences
monitoring	contrôle
Computer	Ordinateur
melanoma	mélanome
calibrator	calibrateur
ventricular fibrillation	fibrillation ventriculaire
breast	sein
L-tryptophan	L-tryptophane
advice	conseil
axon	axone
Alzheimer	Alzheimer
Rest	Repos
Expressivity	Expressivité
Factor analysis	Analyse factorielle
Pain	Douleur
GGT	GGT
coronary angiography	coronarographique
antitussive	antitussif
Mutation	Mutation
Race	Race
cytology	cytologie
comments	commentaires
stores	réserves
Community health	Santé communautaire
ovarian cancer	cancer de l'ovaire
fascia	fascia
P wave	onde P
discography	discographie
spermicide	spermicide
concha	cornet
fasciculation	fasciculation
Interleukin	Interleukin
clamp	clamp
anesthetic	anesthesique
Modification	Modification
metabolism	métabolisme
fibrinogen	fibrinogène
chronic fatigue	fatigue chronique
real time	en temps réel
diuretics	diurétiques
disorders	anomalies
circumduction	circumduction
supply	apport
cerebral palsy	infirmité motrice cérébrale
tonsillitis	amygdalites
endocrinal	endocrinien
coccygodynia	coccygodynie
anti-psychotic	antipsychotique
patch	timbre
antimicrobial	antimicrobien
gas chromatography	chromatographie gazeuse
human growth hormone	hormone de croissance
Topical treatment	Traitement topique
diarrhoea	diarrhée
codeine	codéine
geriatrician	gériatre
Hydration	Hydratation
dyspnea	dyspnée
tract	système
Distribution	Distribution
epilepsy	épilepsie
epithelial cell	cellule épithéliale
Carcinoma	Carcinomes
arthrotomy	arthrotomie
Physician	Médecin
susceptible	susceptible
laryngeal cartilages	cartilages du larynx
damage	dommage
erythrocyte	hématie
Wrinkle	Ride
device	appareil
disease	maladie
twice a day	deux fois par jour
antifungal	antifongique
atopic dermatitis	dermatite atopique
hematemesis	hématémèse
approach	conception
joints	articulations
dehydrated	déshydraté
ketone bodies	corps cétoniques
Kidney failure	Insuffisance rénale
Hematuria	Hématurie
International comparison	Comparaison internationale
to cause	provoquer
mumps	oreillons
clamping	clampage
crohn's disease	maladie de Crohn
needle	aiguille
Symptomatic treatment	Traitement symptomatique
kidney cancer	cancer du rein
tonsils	végétations adénoïdes
absorption	absorption
consultant	consultant
ketone	cétone
medical history	antécédents médicaux
bromine	brome
Vesicle	Vésicule
foetal distress	souffrance foetale
dystrophy	dystrophie
scar	cicatrice
confirmatory	confirmatoire
air embolism	embolie gazeuse
Metastatic melanoma	Mélanome métastatique
bursectomy	bursectomie
Melanoma	Mélanome
communication	communication
hearing	audition
chromosomal	chromosomique
Gonococcus	gonocoque
Longitudinal study	Etude longitudinale
FATIGUE	FATIGUE
self-report	auto-rapport
insurance	assurance
to apply	appliquer
red blood cells	globules rouges
anti-inflammatory	anti-inflammatoire
excreted	excrété
LAD	IVA
Syndrome	Syndrome
over and above	en plus de
nipple	mamelon
milk	lait
Acrocyanosis	Acrocyanose
PPAR	PPAR
alopecia	alopécie
cardiac index	index cardiaque
tachycardia	tachycardies
gene	gène
cuticle	cuticule
Herpes zoster	Zona
stroke volume	volume systolique
Albinism	Albinisme
faeces	feces
anaesthesiologist	anesthésiste
Occupation	Santé au travail
herpes zoster	herpès zoster
hirsutism	hirsutisme
Discriminant analysis	Analyse discriminante
whooping cough	coqueluche
involved	impliqué
Environment	Environnement
endometriosis	endometriose
cytoplasm	cytoplasme
haemorrhoids	hémorroïdes
glaucoma	glaucome
Retrospective study	Etude rétrospective
antigen	antigène
Azathioprine	Azathioprine
antihypertensive	antihypertensif
Renal insufficiency	Insuffisance rénale
equipment	équipement
bodies	corps
motor system	appareil moteur
articular	articulaire
bone graft	greffe osseuse
Encephalopathy	Encéphalopathie
impairment	gêne
half-life	demi-vie
ill	malade
low energy	faible énergie
phosphodiesterase inhibitor	inhibiteur de la phosphodiestérase
Antibiotic	Antibiotique
cancer cell	cellule cancéreuse
aspirin	aspirine
toddlerhood	petite enfance
constipation	constipation
experienced	expérimenté
alcohol	alcool
oligosaccharide	oligosaccharide
hemoperitoneum	hémopéritoine
pathway	trajet
dialysis	dialyse
osteitis	ostéites
unstable angina	angor instable
evening primrose oil	huile d'onagre
allergic response	réaction allergique
pulse	pouls
asthmatic	asthmatique
formulary	formulaire
labelled	étiqueté
Adriamycin	Adriamycine
Impairment	Déficience
sheath	gaine
candidemia	candidémie
cardiotonic	cardiotonique
fibroma	fibrome
distal	distal
glucuronide	glucuronide
system	appareil
Hydroxychloroquine	Hydroxychloroquine
oral contraceptive	contraceptif oral
skin graft	greffe cutanée
aperitif	apéritif
hypnosis	hypnose
Soap	Savon
aplasia	aplasie
haemorrhage	hémorragie
Sterilisation	Stérilisation
sprain	entorse
hemopoietic	hématopoïétique
type 1 diabetes	diabète type 1
Absolute risk	Risque absolu
bactericidal	bactéricide
antibody	anticorps
nasal cartilages	cartilages du nez
lumbar puncture	ponction lombaire
Management	Management
hyperostosis	hyperostose
disability	handicap
Epidermis	Epiderme
Epidemiologist	Epidémiologiste
mood	humeur
Cyclooxygenase	Cyclo-oxygénase
gerontology	gérontologie
slice	coupe
seizures	convulsions
batch	lot
arteries	artères
thrombocytopenia	thrombocytopénie
operation	fonctionnement
liver disease	maladie du foie
collimation	collimation
pins	tiges
myelinated axon	axone myélinisé
procedure	modalité
kinetic	cinétique
fibrous sheath	gaine fibreuse
muscle wasting	atrophie musculaire
NSAID	AINS
external	externe
incipient	débutant
cortisol	cortisol
ring	anneau
astrocytoma	astrocytome
cardiovascular	cardio-vasculaire
anxiety	angoisse
embolization	embolisation
attachment	ancrage
fibrocartilage	fibrocartilage
protein	protéines
Morbidity	Morbidité
cisplatin	cisplatine
hematoma	hématome
biliary colic	colique hépatique
medical device	dispositifs médicaux
cryotherapy	cryothérapie
hot flashes	bouffées de chaleur
chills	frissons
hyperactivity	hyperactivité
Average	Moyenne
antibiotic sensitivity test	antibiogramme
endovascular	endovasculaire
influenza	rhume
arms	bras
cystic fibrosis	mucoviscidose
pad	compresse
atheromatosis	athéromatose
Interaction	Interaction
explanation	explication
COX-1	COX-1
bronchitis	bronchites
myelin sheath	gaine de myéline
bursitis	bursite
Gestational age	Age gestationnel
discharge	écoulement
cavity	cavite
atrium	oreillette
chest	poitrine
hormone	hormone
bacillus	bacille
drugs	médicaments
acidifying	acidifiante
stem cell	cellule souche
intraocular pressure	la pression intraoculaire
AAA	AAA
bone marrow	moelle osseuse
hypokalemia	hypokaliémie
hydroxy	hydroxy
lung	le poumon
sedation	sédation
Selection	Sélection
reasonable	acceptable
albuminuria	albuminurie
fibroid	fibrome
focus	effet
myeloproliferative	myéloprolifératif
invasion	envahissement
Rate	Taux
androgenic	androgénique
Emergency Medical Service	EMS
crying	pleurs
cyclophosphamide	cyclophosphamide
Follow-up	Suivi
Home care	Soins à domicile
hypervolemia	hypervolémie
surgical	chirurgical
Vascular insufficiency	Insuffisance vasculaire
gait	démarche
circulating nurse	panseuse
cognitive	cognitif
occupational therapy	ergothérapeute
disc degeneration	dégénérescence discale
lower limbs	membres inférieurs
blood	sang
cell	cellule
N	azote
abnormalities	anomalies
sterile field	champ stérile
established	confirmé
Weight	Poids
band	bande
gumma	gomme
Stratification	Stratification
Antibody	Anticorps
intermediate host	hôte intermédiaire
folate deficiency	carence en folates
thread	filetage
endometrium	endometre
aspartate aminotransferase	AST
