Erythema	Erythème
allergic response	réaction allergique
osteoporosis	ostéoporose
ataxic	ataxique
Vector	Vecteur
Quality of care	Qualité des soins
Infection	Infection
COX-2	COX-2
injury	blessure
Antigen	Antigène
Abscess	Abcès
broncoscopy	bronchoscopie
occupational therapy	ergothérapeute
consideration	fait
conduction	conduction
pin	broche
Disposable	à usage unique
parenchyma	parenchyme
Registration	Enregistrement
perfused	perfusé
Disease	Maladie
bromocriptine	bromocriptine
pathogens	agent pathogène
hematuria	hématurie
avascular	avasculaire
antimetabolite	antimétabolite
artery	artère
ADL	AVQ
folate deficiency	carence en folates
depressed fracture	enfoncement
conjugate	conjugué
excision	excision
attachment	attachement
prostatitis	prostatite
palsy	paralysie
mental activity	activité mentale
faeces	feces
throughput	débit
antiradical	antiradicalaire
Smear	Frottis
Health statistics	Statistiques sanitaires
Compliance	Observance
sample	échantillon
flu	grippe
anxiety	angoisse
Information	Information
Community health	Santé communautaire
Fertility	Fécondité
caesarean section	césarienne
Azathioprine	Azathioprine
histopathological	histopathologique
vascular prosthesis	prothèse vasculaire
angina pectoris	angine de poitrine
IDDM	DID
Function	Fonction
furuncle	furoncle
knee	genou
running	course
geriatrician	gériatre
hoarseness	enrouement
anticoagulant	anticoagulant
hyperglycaemia	hyperglycémie
Frequency	Fréquence
chemotherapy	chimiothérapie
preservation	conservation
cortisol	cortisol
deficiency	déficient
water balance	bilan hydrique
Photosensitivity	Photosensibilité
Factor analysis	Analyse factorielle
behavioral	comportemental
hemoptysis	hémoptysie
mouth wash	collutoire
fainting	évanouissement
Urinary tract obstruction	Obstruction des voies urinaires
Folic acid	Acide folique
equipment	équipement
shingle	zona
scarlet fever	scarlatine
Hydration	Hydratation
radioulnar joint	articulation radio-cubitale
Delivery	Accouchement
hallux valgus	hallux valgus
fluoxetine	fluoxétine
newborn	nouveau-né
tonsillitis	amygdalite
eyeground	fond d'oeil
antioxidant	anti-oxydant
sweat gland	glande sudoripare
contraction	contraction
Brain natriuretic peptide	BNP
case	cas
Bacterial contamination	Contamination bactérienne
drip	goutte à goutte
garlic	ail
Longitudinal study	Etude longitudinale
cell	cellule
Family	Famille
dosage	dosage
Mental Health	Santé mentale
angiographic	angiographique
folliculitis	folliculite
ascorbic acid	acide ascorbique
Diagnosis	Diagnostic
dermatome	dermatome
activated charcoal	charbon activé
fracture	fracture
arterial	artériel
test	examen
node	ganglion
aneurysmal	anévrismal
contrast	contraste
check-up	bilan de santé
home health	aide a domicile
Retrovirus	Rétrovirus
lump	bosse
Serum	Sérum
arterial line	ligne artérielle
itching	prurit
cystitis	cystite
linoleic acid	acide linoléique
GGT	GGT
hypothermia	hypothermie
reading	lecture
hemangioma	hémangiome
mumps	oreillons
astrocyte	astrocyte
Occupation	Santé au travail
treatment approach	approche thérapeutique
Mass screening	Dépistage de masse
Hepatitis B	Hépatite B
Hantavirus	Hantavirus
paresis	parésie
hemolysis	hémolyse
Angioma	Angiome
Medical record	Dossier médical
slice	coupe
consultant	consultant
deformability	déformabilité
hardness	dureté
chondroblast	chondroblaste
cancer cell	cellule cancéreuse
Contusion	Contusion
pregnant	enceinte
excretion	excrétion
carpal tunnel syndrome	Syndrome du canal carpien
neck	collet
hip joint	articulation de la hanche
dura	dure-mère
ascites	ascite
gastrointestinal	gastrointestinal
communication	communication
cytology	cytologie
aortic	aortique
Mortality statistics	Statistiques de mortalité
change	changement
diathermy	diathermie
Overdose	Surdosage
naevus	naevus
to tame	apprivoiser
gait	démarche
axilla	aisselle
wound	plaie
fiberoptic	fibroscopie
Gestational age	Age gestationnel
South America	Amérique du Sud
distal	distal
antioxidant	antioxydantes
in the field of	dans le domaine de
antiarrhythmic	antiarythmique
operation	fonctionnement
tachycardia	tachycardies
sedation	sédation
shingles	zona
healthy tissue	tissus sains
disc degeneration	dégénérescence discale
embryology	embryologie
aortic bifurcation	bifurcation aortique
ribs	côtes
chest	poitrine
general anaesthesia	anesthésie générale
hyperthyroidism	hyperthyroïdie
generic	générique
degenerative	dégénératif
plug	bouchon
avulsion	avulsion
assessment	évaluation
Episode	Episode
aorta	aorte
Recrudescence	Recrudescence
medical device	dispositifs médicaux
chondrodysplasia	chondrodysplasie
Epidemiologist	Epidémiologiste
activities of daily living	activités de la vie quotidienne
rickets	rachitisme
control	contrôle
Mitosis	Mitose
cold	rhume
Response rate	Taux de réponse
dermatitis	dermite
Error	Erreur
Case control study	Etude cas-témoins
hypothyroidism	hypothyroïdie
greater omentum	grand épiploon
depolarization	dépolarisation
jealousy	jalousie
early diagnosis	diagnostic précoce
fibrocyte	fibrocyte
hydroxy	hydroxy
Hypothesis	Hypothèse
Experimental study	Etude expérimentale
develop	faire
Viral hepatitis	Hépatite virale
intrauterine device	stérilet
androgen	androgène
Regression	Régression
anatomically	anatomiquement
Huntington's chorea	chorée de Huntington
self-expanding	expansible
foreign bodies	corps étrangers
obstructive sleep apnea	apnée obstructive du sommeil
Fetal death	Mort foetale
limb	membre
adhesions	adhérences
brightness	brillance
arsenic	arsenic
aloe	aloès
impulsiveness	impulsivité
stability	statique
Correlation	Corrélation
carbohydrate	glucide
Probability	Probabilité
urine dipstick	bandelette urinaire
hypnotic	hypnotique
Seroepidemiology	Séroépidémiologie
infusion	perfusion
phase II study	étude de phase II
nephritis	nephrite
teeth	dents
diabetic	diabétique
ampicillin	ampicilline
autistic child	enfant autistique
deafness	surdité
coccygodynia	coccygodynie
P wave	onde P
flank	flanc
neurological deficit	déficit neurologique
chondrodystrophy	chondrodystrophie
Free radicals	Radicaux libres
purpose	but
ketone	cétone
patch	timbre
outbreak	flambée
Dermatosis	Dermatose
kidney cancer	cancer du rein
impingement	conflit
cartilages	cartilages
TIA	AIT
Elimination	Elimination
supply	apport
protective effect	effet protecteur
vitamin B12 deficiency	carence en vitamine B12
capillary	capillaire
latissimus dorsi muscle	grand dorsal
rod	Tige
focus	effet
biocompatible	biocompatible
retrospective chart review	analyse rétrospective des dossiers médicaux
follow up	suivi
SD	écart type
nerve cell	cellule nerveuse
Feasibility study	Etude de faisabilité
Dermatose	Dermatose
finger clubbing	hippocratisme digital
Predictive value	Valeur prédictive
effective	efficace
L-tryptophan	L-tryptophane
ischemic stroke	accident ischémique cérébral
original	d'origine
CAV	CAV
arrythmia	arythmie
wishes	volontés
False negative	Faux négatif
antibody	anticorps
Follow-up	Suivi
definitive host	hôte définitif
digitoxin	digitoxine
Cross-sectional study	Etude transversale
affinity	affinité
antifungal	antifongique
rotator cuff	coiffe des rotateurs
Metoclopramide	Métoclopramide
antidepressant	antidépressif
Model	Modèle
fistula	fistule
agenesis	agénésie
splint	attelle
chromosomal	chromosomique
Leflunomide	Léflunomide
Cyanosis	Cyanose
Steroid	Stéroïde
baldness	calvitie
stearic acid	acide stéarique
life-threatening	engageant le pronostic vital
carrier	porteur
of reproductive age	en âge de procréer
Arbovirus	Arbovirus
Genetics	Génétique
ratio	rapport
hypotension	hypotension
lung abscess	abcès pulmonaire
band	bandelette
enzyme	enzyme
bowel	intestin
ectopic pregnancy	grossesse ectopique
distress	souffrance
centriole	centriole
Multivariate analysis	Analyse multivariée
Azotemia	Azotémie
anxiety	anxiété
Cyst	Kyste
bed rest	repos au lit
Nephrectomy	Néphrectomie
ventricular fibrillation	fibrillation ventriculaire
Event	Evénement
stress	stress
Impact	Impact
wall	paroi
Multiple regression	Régression multiple
small intestine	intestin grêle
Metastatic melanoma	Mélanome métastatique
stem cell	cellule souche
strength	concentration
lower limbs	membres inferieurs
gout	goutte
cells	cellules
access	abord vasculaire
disease	maladie
goiter	goitre
Purpura	Purpura
Artificial intelligence	Intelligence artificielle
Chromatin	Chromatine
antiseptic	antiseptiques
closed fracture	fracture fermée
scar	cicatrice
hydrothorax	hydrothorax
capsule	gélule
Dermis	Derme
antispasmodic	antispasmodique
pancreatitis	pancreatite
handling	manipulation
Absolute risk	Risque absolu
aplasia	aplasie
pregnancy	grossesse
cortical	cortical
Factor	Facteur
hip	hanche
dermatology	dermatologie
Perinatal mortality	Mortalité périnatale
embolus	embole
Lack	Carence
hereditary	héréditaire
physical activity	activité physique
fibre	fibre
clip	agrafe
complaint	doléance
barbiturate	barbiturique
Retrospective study	Etude rétrospective
ciprofloxacin	ciprofloxacine
Ecological study	Etude écologique
Cellulitis	Cellulite
Monitoring	Monitorage
kyphosis	cyphose
Fermentation	Fermentation
bottle feeding	alimentation au biberon
coronal	frontal
booster dose	dose de rappel
autolysis	autolyse
Herpes zoster	Zona
distress	détresse
catecholamines	catécholamines
areola	aréole
recovery	réanimation
protein	protéines
Mathematical model	Modèle mathématique
Body mass index	Indice de masse corporelle
atopic dermatitis	eczéma constitutionnel
strain	souche
detoxication	désintoxication
renal arteries	artères rénales
bodies	corps
PCS	CP
gonorrhoea	blennorragie
component	composant
in adults and older children	grand enfant
hematemesis	hématémèse
densitometry	densitométrie
Hyperphosphatemia	Hyperphosphatémie
hypoglycaemia	hypoglycémie
over and above	en plus de
CAE	CAE
arteriosclerosis	artériosclérose
AP	antéro-postérieur
allergy	allergie
axoplasm	axoplasme
drugs	médicaments
pudendal nerve	nerf honteux
anthocyanins	anthocyanes
half-life	demi-vie
Raloxifene	Raloxifène
aspirin	aspirine
hair	cheveu
cognitive	cognitif
adrenal glands	surrénales
Efficacy	Utilité
food allergy	allergie alimentaire
intervertebral disk	disque intervertébral
Chemotherapy	Chimiothérapie
in development	en cours de développement
walker	déambulateur
fluoroscopy	fluoroscopie
alkaline phosphatase	phosphatase alcaline
attachment	ancrage
Wrinkle	Ride
antipyretic	antipyrétique
invasion	envahissement
Pericarditis	Péricardite
fatigue	fatigue
anaesthesia	anesthésie
hypokalemia	hypokaliémie
Lipid	Lipide
astrocytoma	astrocytome
vertebral body	corps vertébral
failure	échec
platelets	plaquettes
azithromycin	azithromycine
Locus	Locus
nitrates	dérivés nitrés
explanation	explication
thoracic cavity	cavité thoracique
captopril	captopril
Health care	Soins de santé
Scar	Cicatrice
Cleansing	Nettoyage
glucose	glucose
Validation	Validation
Atopic dermatitis	Dermatite atopique
supplies	fournitures
blepharitis	blépharite
failure	défaillance
sequelae	séquelles
Health services	Services de santé
bactericidal	bactéricide
Public Health	Santé publique
arthrotomy	arthrotomie
Guidelines	recommandations
embolectomy	embolectomie
supplying the brain	destinée cérébrale
implantable defibrillator	défibrillateur implantable
improvement	amélioration
asthma	asthme
Vascular	Vasculaire
Distribution	Distribution
skull	crâne
associated	associé
astroglia	astroglie
Cyclosporin	Cyclosporine
genu varum	genu varum
discography	discographie
Acute	aiguë
appendicitis	appendicite
Adjustment	Ajustement
ear	oreille
engineering	génie
dystrophy	dystrophie
Measles	Rougeole
elderly	âgé
right atrium	oreillette droite
thrombocytopenia	thrombocytopénie
second-line	deuxième intention
Diet	Régime alimentaire
cardiotonic	cardiotonique
Death certificate	Certificat de décès
Nomenclature	Nomenclature
normal pressure hydrocephalus	hydrocéphalie à pression normale
clamp	pince
joints	articulations
leukemia	leucemie
nasal cartilages	cartilages du nez
achondroplasia	achondroplasie
diabetes mellitus	diabète sucré
SCLC	CPPC
antirheumatic	antirhumatismal
biofeedback	biofeedback
clamp	clamp
criteria	critères
heredity	hérédité
amyotrophy	amyotrophie
congenital heart disease	cardiopathies congénitales
brain tumor	tumeur cérébrale
Experiment	Expérience
surrounding	environnant
spleen	rate
Immunization	Immunisation
suction cup	ventouse
manufacturer	fabricant
acute interstitial nephritis	néphrite interstitielle aiguë
atonic	atonique
sickle cell anemia	drépanocytose
administrator	administrateur
homocysteine	homocystéine
catheter	cathéter
Topical treatment	Traitement topique
obesity	obésité
Cancer registry	Registre du cancer
calcaneus	calcaneum
tracing	tracé
wheelchair	fauteuil roulant
thrush	muguet
wall	cloison
androgenic	androgénique
purpura	purpura
Renal biopsy	Biopsie rénale
Emergency Medical Service	EMS
arbitrarily	arbitrairement
Health promotion	Promotion de la santé
osteoarthritis of the knee	gonarthrose
atelectasis	atélectasie
too fast	trop vite
patellofemoral	fémoro-patellaire
eclampsia	clampsie
milk	lait
doctor	docteur
gallbladder disease	maladie de la vésicule biliaire
arthropathy	arthropathie
user friendly	convivial
measles	rougeole
excitation	excitation
hydroxyapatite	hydroxy-apatite
myelinated axon	axone myélinisé
dyspnea	dyspnée
erythrocyte	hématie
fusion	fusion
back pain	douleurs dorsales
Seborrhea	Séborrhée
leads	sondes
proximal end	extrémité proximale
Inoculation	Inoculation
cable	câble
glaucoma	glaucome
diaphyseal dysplasia	dysplasie diaphysaire
carotene	carotène
lumbar puncture	ponction lombaire
hair follicle	follicule pileux
Race	Race
incipient	débutant
pleural effusion	épanchement pleural
systemic	général
Contagion	Contagion
suction	succion
Whitlow	Panaris
salvage treatment	traitement de rattrapage
band	bande
hypnosis	hypnose
Alzheimer	Alzheimer
polythelia	polythélie
headache	céphalée
Disinfection	Désinfection
fetus	foetus
binding	liaison
colic	coliques
insult	accident
deltoid muscle	deltoïde
hypotensive	hypotendu
cardiotomy	cardiotomie
endothelial	endothélial
Symbiosis	Symbiose
benefit	avantage
pneumonia	pneumonie
cholecalciferol	cholécalciférol
association	association
Discriminant analysis	Analyse discriminante
collagenosis	collagénose
connector	connecteur
procedure	modalité
PPAR	PPAR
disc disease	discopathie
coxalgia	coxalgie
angina	angine
coordination	coordination
biocompatibility	biocompatibilité
diarrhea	diarrhées
Program	Programme
patient	patient
Eruption	Eruption
Independence	Indépendance
toddlerhood	petite enfance
embryo	embryon
abdominal pain	douleur abdominale
Encounter	Rencontre
gene	gène
contraindication	contre-indication
Chromosome	Chromosome
cup	cotyle
cure	guérison
condyloma acuminata	condylome acuminé
surrogate	porteuse
antitussive	antitussif
evening primrose oil	huile d'onagre
claviculectomy	claviculectomie
pulse	pouls
seizures	crise d'épilepsie
cardiovascular	cardiovasculaire
Questionnaire	Questionnaire
Census	Recensement
Vaccination	Vaccination
motor system	appareil moteur
haemorrhage	hémorragie
extemporaneous mixture	mélange extemporané
finger	doigt
lactate dehydrogenase	LDH
to apply	appliquer
skin	peau
intraocular pressure	la pression intraoculaire
wire	fil
Syndrome	Syndrome
kidney	le rein
exostosis	exostose
cardiologist	cardiologue
NSAID	AINS
valvular disease	valvulopathies
comments	commentaires
sexually transmitted disease	maladie sexuellement transmissible
Folliculitis	Folliculite
inguinal hernia	hernie inguinale
Exposure	Exposition
antibiotic sensitivity test	antibiogramme
body	corps
Age	Age
humanized	humanisé
coccyx	coccyx
cerebral palsy	paralysie cérébrale
diarrhoea	diarrhée
gumma	gomme
circumcision	circoncision
Australia	Australie
electrodes	électrodes
hydrocortisone	hydrocortisone
excreted	excrété
coarse	grossier
circulating nurse	panseuse
enteritis	entérite
metabolism	métabolisme
Soap	Savon
chlorophyll	chlorophylle
Sampling	Echantillonnage
chronic fatigue	fatigue chronique
consumption	consommation
atherosclerosis	athérosclérose
Antiseptic	Antiseptique
glycosaminoglycans	glycosaminoglycanes
femoral artery	artère fémorale
cefazolin	céfazoline
atonic	atone
batch	lot
Vitiligo	Vitiligo
Descriptive epidemiology	Epidémiologie descriptive
Wart	Verrue
gestational age	l'âge gestationnel
amoxicillin	amoxycilline
oral contraceptive	contraceptif oral
femoro-femoral	fémoro-fémoral
threats	menaces
stroke	coup
mediated by	médié par
upward	vers le haut
fascia	fascia
training	formation
sprain	entorse
stress test	preuve d'effort
disability	handicap
biliary colic	colique hépatique
Hyperkalemia	Hyperkaliémie
fibroblast	fibroblaste
relaxation	décontraction
Exelon	Exelon
endoscopy	endoscopie
embolization	embolisation
Hazard	Risque
thrombosis	thrombose
follow-up	devenir
gum	gencive
polymyositis	polymyosite
False positive	Faux positif
Kent bundle	faisceau de Kent
in patient	hospitalisé
data	données
verification	vérification
gram-negative	gram-négatif
pleural cavities	cavités pleurales
Cholesteatoma	Cholestéatome
geriatrics	gériatrie
heart rate	fréquence cardiaque
sensor	capteur
site	foyer
aqueous humor	humeur aqueuse
swelling	gonflement
diuretics	diurétiques
axon	axone
endocrinology	endocrinologie
granulocyte	granulocyte
Physician	Médecin
incus	enclume
dry skin	peau sèche
angiography	angiographie
cisplatin	cisplatine
gastroenterology	gastro-entérologie
genetics	génétique
ring	anneau
Decision analysis	Analyse décisionnelle
medical history	antécédents médicaux
strangulated hernia	hernie étranglée
pattern	aspect
strength	la force
brain	cerveau
cardiopathy	cardiopathie
gangrene	gangrène
Utility	Utilité
contraindicated	contre-indiqué
thoracic duct	canal thoracique
pins	tiges
Methodology	Méthodologie
coxa vara	coxa vara
Concordance	Concordance
dysmenorrhea	dysménorrhée
intensive care	réanimation
fibroma	fibrome
kinetic	cinétique
spitting	crachat
stresses	contraintes
hemodialysis	hémodialyse
gland	glande
degeneration	dégénérescence
Rate	Taux
Vascular insufficiency	Insuffisance vasculaire
dyspepsia	dyspepsie
exploratory	exploratrice
availability	disponibilité
ankylosis	ankylose
humerus	humérus
tumor	tumeur
spermicide	spermicide
water-soluble	hydrosoluble
hyperemia	hyperémie
red cell	globule rouge
palmar fascia	aponévrose palmaire
Descriptive study	Etude descriptive
heart disease	cardiopathie
Carcinoma	Carcinomes
analyser	analyseur
development	développement
ferritin	ferritine
articular	articulaire
heel	talon
Life expectancy	Espérance de vie
oral contraceptives	contraceptifs oraux
masturbation	masturbation
anxiolytic	anxiolytique
Resolution	Résolution
stone	lithiase
chromatin	chromatine
atopic	atopique
neuromuscular blocking agent	curare
hospital	hôpital
essential fatty acid	acides gras essentiels
empyema	empyème
fibromyalgia	fibromyalgie
callus	cal osseux
resuscitation	réanimation
Variola	Variole
Causes of death	Causes de décès
CPT-11	CPT-11
spinal	rachianesthésie
rating	évaluation
bromine	brome
gastroenterologist	gastro-entérologue
buttock	fesse
Statistics	Statistiques
patient	malade
ulnar	cubital
brain surgery	chirurgie cérébrale
cephalexin	céfalexine
mild	bénin
Psoriasis	Psoriasis
pathogenic bacteria	bactéries pathogènes
crying	pleurs
procedure	geste
strength	force
diagnose	diagnostiquer
constipation	constipation
urinary infection	infection urinaire
Pus	Pus
mood	humeur
excitability	excitabilité
basophil	basophile
Hematuria	Hématurie
Infectious diseases	Maladies infectieuses
atrium	oreillette
workup	bilan
fasciotomy	fasciotomie
Estimation	Estimation
insurance	assurance
surgical	chirugicale
Mode	Mode
femur	fémur
convulsions	convulsions
diet	alimentation
hyaluronic acid	acide hyaluronique
external	externe
Genetic epidemiology	Epidémiologie génétique
package	emballage
muscle wasting	atrophie musculaire
effective	actif
Protocol	Protocole
Incidence	Incidence
tremor	tremblement
herniorrhaphy	herniorraphie
gram-positive	gram-positif
Sterile	Stérile
condyle	condyle
cardiovascular collapse	collapsus cardiovasculaire
anuria	anurie
funnel chest	thorax en entonnoir
involved	impliqué
respiratory system	appareil respiratoire
afferent	afférent
Dispersion	Dispersion
knees	genoux
camphor	camphre
dilatation	dilatation
Antisepsis	Antisepsie
defibrillator	défibrillateur
uterine fibroids	fibromes utérin
Impairment	Déficience
aphrodisiac	aphrodisiaque
amikacin	amikacine
chronic	chronique
level	niveau
anaesthetic	anesthésique
effectiveness	efficacité
anatomy	anatomie
damage	dommage
pleurisy	pleurésie
ovarian cancer	cancer de l'ovaire
concurrent	simultanée
Ecology	Ecologie
myeloproliferative	myéloprolifératif
Asepsis	Asepsie
absorption	absorption
swelling	enflure
intimal tear	déchirure de l'intima
varicose veins	varices
acetabular	cotyloïdien
Risk assessment	Evaluation du risque
ST segment	segment ST
Sterilisation	Stérilisation
visual field	champ visuel
Pollution	Pollution
radiotherapy	radiotherapie
Heparin	Héparine
Quantitative data	Données quantitatives
cyclooxygenase	cyclo-oxygénase
stroke	AVC
trisodium citrate	citrate trisodique
home nursing care	soins infirmiers à domicile
sputum	expectoration
endothelium	endothélium
hormonal therapy	hormonothérapie
haemorrhoids	hémorroïdes
heuristic	heuristique
amyloidosis	amylose
Class	Classe
histology	histologie
probe	examiner
Seasonal variation	Variation saisonnière
synovial chondromatosis	chondromatose synoviale
vicryl	vicryl
Environment	Environnement
Preventive medicine	Médecine préventive
whooping cough	coqueluche
acidifying	acidifiante
Paradigm	Paradigme
synovial sheath	gaine synoviale
heart	cœur
Chemoprophylaxis	Chimioprophylaxie
weight	poids
contusions	contusions
Cold abscess	Abcès froid
arthrolysis	arthrolyse
COMP	COMP
femoral	fémoral
abdominal cavity	cavité abdominale
type 1 diabetes	diabète type 1
balloon	ballonnet
head injury	traumatisme crânien
death	décès
dopamin	dopamine
drainage	drainage
Pregnancy	Grossesse
inflamed	enflammé
Aphtha	Aphte
Corticosteroid	Corticostéroïde
procedure	acte
hydroxymethyl	hydroxyméthyl
impairment	gêne
Geographic pathology	Pathologie géographique
desmosome	desmosome
alcoholism	alcoolisme
Pharmacoepidemiology	Pharmacoépidémiologie
contracture	contracture
Deduction	Déduction
pancreatitis	pancréatite
epithelial cell	cellule épithéliale
vascular puncture	ponction
established	confirmé
diets	régimes
isolation	Isolement
guideline	directives
Cyclooxygenase	Cyclo-oxygénase
Gemcitabine	Gemcitabine
febrifuge	fébrifuge
Retrograde cystography	Cystographie rétrograde
staining	coloration
angioplasty	angioplastie
high blood pressure	hypertension
aneurysm	anévrisme
low anterior resection	résection antérieure basse
Bias	Biais
lacuna	lacune
ankle	cheville
palmitic acid	acide palmitique
ulna	cubitus
collagen	collagène
antiphlogistic	antiphlogistique
anaesthesiologist	anesthésiste
gynecology	gynécologie
Xenobiotic	Xénobiotique
Eczema	Eczéma
conclusions	conclusions
choroiditis	choroïdite
antenna	antenne
Pain	Douleur
hepatic	hépatique
cirrhosis	cirrhose
spread	extension
fibroids	fibromes
ventricular tachycardias	tachycardies ventriculaires
breast feeding	allaitement
neurological examination	examen neurologique
Vesicoureteral reflux	Reflux vésico-urétéral
cilium	cil
albuminuria	albuminurie
Standard	Standard
site	endroit
behavior	comportement
canaliculus	canalicule
calcified	calcifié
sheath	gaine
Health	Santé
Vaccine	Vaccin
antiinflammatory	anti-inflammatoire
target	cible
clot	caillot
approach	conception
atria	oreillettes
blood	sang
blood sugar	la glycemie
endoplasm	endoplasme
Histoplasma	Histoplasma
abscess	abcès
feedback	autorégulation
device	appareil
hypoplasia	hypoplasie
myelin sheath	gaine de myéline
rewards	récompenses
glioblastoma	glioblastome
hypertonic	hypertonique
Underestimation	Sous-estimation
blood-brain barrier	barrière hémato-encéphalique
Clinical trial	Essai clinique
AAA	AAA
flat feet	pieds plats
agonist	agoniste
fascitis	fasciite
endovascular	endovasculaire
Selection	Sélection
fasciculation	fasciculation
real time	en temps réel
susceptible	susceptible
portal	porte
flexion	flexion
liver disease	maladie de foie
fibrinogen	fibrinogène
bacteraemia	bactériémie
cardiac arrest	arrêt du coeur
circulation	circulation
hearing aid	auditive
atopic dermatitis	dermatite atopique
rib	côte
anti-androgenic	antiandrogénique
human growth hormone	hormone de croissance
waste	déchets
lower limbs	membres inférieurs
nightmares	cauchemars
atheromatosis	athéromatose
kit	trousse
Survey	Enquête
clamping	clampage
hepatitis	hépatites
efferent	efférent
Keratosis	Kératose
pelvic girdle	ceinture pelvienne
antihypertensive	antihypertensif
illness	maladie
antibiotic	antibiotique
endometrium	endometre
Hibernation	Hibernation
reasonable	acceptable
curettage	curettage
flashback	flashback
distal end	extrémité distale
Computer	Ordinateur
arthroscopy	arthroscopie
genu valgum	genu valgum
scalp	chevelu
tinnitus	acouphène
aortic arch	arc aortique
autoclave	autoclave
tumefaction	tuméfaction
non-osteogenic fibroma	fibrome non ostéogénique
Cardiovascular	CV
infection	infection
antineuralgic	antinévralgique
FATIGUE	FATIGUE
mental deficiency	déficience mentale
Quotient	Quotient
Handicap	Handicap
Adaptation	Adaptation
perinatal mortality	mortalité périnatale
Community medicine	Médecine communautaire
tract	système
Case	Cas
bladder	vessie
sealed	fermé
fungus	champignon
cephalosporin	céphalosporine
candidemia	candidémie
