17a-dihydroequilin	17a-dihydroéquiline
Alopecy	Alopécie
Alpha error	Erreur de type alpha
Alpha error	Niveau alpha
alpha-immunotherapy	alpha-immunothérapie
Alpha level	Analyse de variance
Alzheimer	Alzheimer
Ambient air	AA
ambient temperature	tambiante
ambulance	véhicule sanitaire léger
ambulatory	ambulatoire
amenities	commodités
Amiba	Amibe
Amibic	Amibien
amikacin	amikacine
aminoglycoside	aminoglucoside
amoxicillin	amoxycilline
Amphotericin B IV	Amphotéricine B IV
Amphotericin B lipid	Amphotéricine B lipidique
ampicillin	ampicilline
amputation pain	douleur des amputés
amyelinated axon	axone non myélinisé
amygdalectomy	ablation des amygdales
amyloidosis	amylose
amyotrophic lateral schlerosis	sclerose externe amyotrophique
amyotrophy	amyotrophie
Anabolic hormones	Hormones anaboliques
anabolism	anabolisme
-anaemia	anémie
anaemia	anémie
anaesthesia	anesthésie
anaesthesia nerve block	anesthésie tronculaire
anaesthesiologist	anesthésiste
anaesthesiology	anesthésiologie
anaesthetic	anesthésique
anaesthetist	anésthésiste
anaesthetist	anesthestiste
analgesic abuse	abus danalgésiques
analgetics	analgésiques
analogue	analogique
anal sex	rapports anaux
analyse	analyse
analyser	analyseur
Analysis of variance	Epidémiologie analytique
Analytic epidemiology	Etude analytique
Analytic study	Modèle animal
anaphylactic	anaphylactique
anastomosis	anastomose
anatomical background	rappel anatomique
anatomically	anatomiquement
anatomy	anatomie
anchoring barbs	barbelures de fixation
ancillary action	effet accessoire
androgen	androgène
androgenic	androgénique
Androstenedione	Androstènedione
anephric	anéphrique
anesthetic agent	anesthésiant
anesthetic	anesthesique
aneurysmal	anévrismal
aneurysm	anévrisme
anger or embarrassment	colère ou gène
angina	angine
angina	angor
angina pectoris	angine de poitrine
angiocardiography	angiocardiographie
angio-computerized tomography	angio-CT
angio-CT	angio-computerized tomography
angiogram	angiogramme
angiographic	angiographique
angiography	angiographie
Angioma	Angiome
angioma	angiome
Angiomatosis	Angiomatose
angioplasty	angioplastie
angiotensin converting enzyme inhibitor	ACE Inhibitors
angular artery	artère angulaire
angular closure glaucoma	glaucome `a l'angle ferm'e
Anhistic	Anhiste
animal and cadaver labs	Laboratoires d'anatomopathologie animale et humaine
Animal model	Antagonisme
animal testing	essais sur les animaux
Anisocytosis	Anisocytose
Anisonucleosis	Anisocaryose
ankle	cheville
ankle has been crooked 90 degrees to the other side	Ci-dessous
ankylosis	ankylose
Annular	Annulaire
Anoxia	Anoxie
Ansa nephroni	Anse de Henle
Antagonism	Variable antécédente
antagonist	antagoniste
antenna	antenne
anterior	antérieur
anterior chamber	chambre anterieur
anthocyanins	anthocyanes
Anthraquinonic	Anthraquinonique
Anthropometry	Anthropométrie
anthropomorphic measurements	bilan anthropométrique
Anthropophilic	Anthropophilique
antiallergen	antiallergique
anti-androgenic	antiandrogénique
antiarrhythmic	antiarythmique
antibacterial	antibactérienne
Antibiotic	Antibiotique
antibiotic	antibiotique
antibiotic	antibiotiques
antibiotic sensitivity test	antibiogramme
antibiotic therapy	antibiothérapie
antibodies	anticorps
antibody	anticorps
Antibody	Anticorps
antibody	anticorps
anticoagulant	anticoagulant
anticoagulation	anticoagulation
anticonvulsant	anticonvulsivant
anti-convulsants	anti-convulsivants
Anti-dandruff	Antipelliculaire
antidepressant	antidépresseur
antidepressant	antidépressif
antidiabetic	antidiabétique
antiepileptic	antiépileptique
Antiepileptic Drug Pregnancy Registry	registre des grossesses sous traitement anti-épileptique
anti free-radical	anti radicaux libres
anti free-radical	anti-radicaux libres
antifungal	antifongique
antigen	antigène
Antigen	Antigène
Antigenic drift	Dérive antigénique
Antigenicity	Antigénicité
antigenicity	antigénicité
Antigenic shift	Mutation antigénique
antigladian antibody	aga
antihypertensive	antihypertensif
Anti-infective	Anti-infectieux
Anti-inflammatory	Anti-inflammatoire
anti-inflammatory	anti-inflammatoire
antiinflammatory	anti-inflammatoire
antimetabolite	antimétabolite
antimicrobial	antimicrobien
antineuralgic	antinévralgique
anti-oestrogenic	antioestrogénique
antioxidant	antioxydantes
antioxidant	anti-oxydant
antipain	anti-douleur
anti-parasitic	anti-parasitaire
Antiperspiration	Antitranspiration
antiphlogistic	antiphlogistique
anti-platelet	antiagrégeant plaquettaire
antipruritic	antiprurigineux
anti-psychotic	antipsychotique
antipyretic	antipyrétique
antipyrotic	antiphlogistique
antiradical	antiradicalaire
anti-resorptive	antirésorption
antirheumatic	antirhumatismal
Antisepsis	Antisepsie
Antiseptic	Antiseptique
antiseptic	antiseptiques
antispasmodic	antispasmodique
antitussive	antitussif
antiviral	antivirale
Anti-wrinkle	Anti-ride
antrum	antre
anuria	anurie
anxiety	angoisse
anxiety	anxiété
anxiolytic	anxiolytique
any disease	nimporte quelle maladie
Aorta	Ao
aorta	aorte
aortic aneurysm	anévrisme de laorte
aortic	aortique
aortic arch	arc aortique
aortic bifurcation	bifurcation aortique
aortic velocity-time integral	ITVA
aperitif	apéritif
aphrodisiac	aphrodisiaque
aphta	aphte
Aphtha	Aphte
apical systolic murmur with cephalad or upward propagation or radiation	souffle systolique en écharpe
a pin was inserted	une broche a été mise en place
aplasia	aplasie
Apocrine akne	Acné apocrine
aponeurosis	aponévrose
Apoplexy	Apoplexie
apparatus	appareil
apparatus	equipment
appendectomy	appendicectomie
appendicitis	appendicite
appetite stimulant	stimulant de lappétit
appraisal	évaluation
approach	conception
Approved for use in hospitals or Healthcare institutions	Agrée aux collectivités
approximately	environ
aqueous humor	humeur aqueuse
aqueous humour	humeurs liquides
arachidic acid	acide arachidique
arachnoiditis	arachnoïdite
arbitrarily	arbitrairement
Arbovirus	Arbovirus
arching	voussure
area	aire
area of low uptake	zone hypofixiante
Area sampling	Echantillonnage par zone
areola	aréole
Areola mammae	Aréole du mamelon
Areolitis	Inflammation de l'aréole du mamelon
Aristolochia acids	Acides aristolochiques
Arithmetic mean	Moyenne arithmétique
arms	bras
Arnica	Arnica
around the pons	péri-pontique
arrest	arrêt
arrythmia	arythmie
arsenic	arsenic
arterial	artériel
arterial catheterisation	cathétérisme artériel
Arterial hypertension	AHT
arterial line	ligne artérielle
arterial thrombosis	athérothrombose
arteries	artères
arteriosclerosis	artériosclérose
arteriotomy	artériotomie
arteriovenous	artério-veineux
arteriovenous fistula	fistule artério-veineuse
arteriovenous sheathotomy	adventicectomie artérioveineuse
artery	artère
arthralgia	douleur articulaire
arthritis	arthrite
arthritis	arthritiques
arthrocentesis	arthrocenthèse
arthrodial joint	articulation arthrodiale
arthrography	arthrographie
arthrolysis	arthrolyse
arthrometry	arthrométrie
arthropathy	arthropathie
arthrophyte	arthrophyte
arthroplasty	arthroplastie
arthroscopy	arthroscopie
Arthrosic	Arthrosique
arthrotomy	arthrotomie
articular	articulaire
artifactual stent stenosis	artéfact de sténose sur stent
artificial ankylosis	ankylose thérapeutique
Artificial intelligence	Intelligence artificielle
as a last resort	en désespoir de cause
Ascertainment bias	Biais de constatation Biais de détermination
ascites	ascite
ascorbic acid	acide ascorbique
Asepsis	Asepsie
a slight positive deflection	une petite positivité
aspartate aminotransferase	AST
Aspartate aminotransferase	AST
aspergillus	aspergillus
Aspersion	Aspersion
a spiral scan was performed	une hélice a été pratiquée
aspirin	aspirine
assays on board	dosages maxi
assessment	évaluation
assessment	répartition
Assistant and consulting physician	Adjoint vs Assistant
Assistant Head of Clinic	AHC
assistive device	appareil dassistance
associated	associé
Associate Dean	vice-doyen
associate doctor with extended term contract	attaché prorogé
Associate Specialist Gynaecologist and Obstetrician	médecin attaché en gynécologie-obstétrique
association	association
Association	Association
Association of Hearing Aid Practitioners	Association des audioprothésistes
Assortative mating	Accouplement préférentiel
Assumption	Prémisses
a standard ionisation procedure using glow discharge plasma	une procédure standard d'ionisation sous effluve de plasma
asthma	asthme
asthmatic	asthmatique
a strain of E. coli	une souche d'Escherichia coli
astrocyte	astrocyte
astrocytoma	astrocytome
astroglia	astroglie
Asymetric periflexural exanthem of childhood	Exanthème unilatéral thoracique de l'enfance
Asymmetrical association	Association asymétrique
Asymptotic	Asymptotique
Asymptotic method	Méthode asymptotique
ataxia	ataxie
ataxic	ataxique
at baseline	en conditions basales
at different levels	étagé
atelectasis	atélectasie
atheromatosis	athéromatose
atheromatous	athéromateux
atherosclerosis	athérosclérose
atherosclerotic artery	artère athéromateuse
atherosclerotic coronary disease	ASCD
athletic mouth guard	protège-dents athlétique
atlanto-occipital joint	articulation occipito-atloïdienne
at leading edge	au début de l'impulsion
atonic	atone
atonic	atonique
atonic bladder	atonie vésicale
atopic	atopique
Atopic dermatitis	Dermatite atopique
atopic dermatitis	dermatite atopique
atopic dermatitis	eczéma constitutionnel
Atrabilious	Atrabilaire
at rest	au repos
atrial	auriculaire
atrial fibrillation  AF	fibrillation auriculaire
atrial flutter  AF	flutter auriculaire
atrial wall	cloison de l'oreillette
atria	oreillettes
atrioventricular block	AVB
atrium	oreillette
attachment	ancrage
attachment	attachement
Attack rate	Taux d'attaque
attempted suicide	atteint de suicide
at the expense of the bypass	aux dépens de la dérivation
Attributable fraction	Fraction attribuable
Attributable number	Nombre attribuable
Attributable risk	Risque attribuable
Attribute	Attribut
attributed to	incriminer
attribute grid	grille des caractéristiques du produit
at trough of	à un nadir de
atypical form of	forme atypique de
atypical form of	forme fruste de
audible bilateral expiratory lung sounds or bilateral breath sounds	BEAB Bruits Expiratoires Audibles Bilatéraux
audiology	audiologie
audit & assignment privileges	vérifications et privilèges dassignation
Audit	Audit
Augmentation Communication Devices	appareils pour le développement de la communication
Auranofin	Auranofine
Auricular hydroa	Hydroa estival auriculaire
Aurothiopropanolsulfonate de sodium	Aurothiopropanolsulfonate de sodium
Auscultate	Ausculter
Auscultation	Auscultation
Australia	Australie
Authorized medicine	Médicament autorisé
autistic child	enfant autistique
auto-ajusting sensitivity tresholds	adaptation automatique des seuils de sensibilité
autoclave	autoclave
autoimmune	autoimmune
autoimmune disorders	troubles auto-immunes
autolysis	autolyse
autolyzed	autolysé
automated claims adjudication systems	systèmes automatisés de règlement des demandes de prestations
autopsy	autopsie
Autopsy data	Données d'autopsie
availability	disponibilité
avascular	avasculaire
AV canal	CAV
AV conduction block	blocage de la transmission auriculoventriculaire
Average life expectancy	Espérance de vie moyenne
Average	Moyenne
Average treatment time	Temps de traitement moyen
a visual inspection of the width of the CIs and the estimate of the treatment ef	visualisation de l'amplitude des IC
avoidance behavior	conduite d'évitement
Avoid contact	Éviter tout contact
Avonex	Avonex
Avulsion	Avulsion
avulsion	avulsion
award-winning project	projet primé
Awareness and Opinions	Attitudes et opinions
axial slice	coupe axiale
axilla	aisselle
axillary node	ganglion axillaire
Axis	Axe
axon	axone
axoplasm	axoplasme
azarole	azérole
Azathioprine	Azathioprine
azithromycin	azithromycine
Azotemia	Azotémie
b2-microglobulin	b2 microglobuline
Baby bather	Siège de bain
Baby carrier	Porte-bébé
baby formula	preparation lactee pour nourrison
bacillus	bacille
background and overview	contexte et présentation
back pain	douleurs dorsales
back-transformation of the regression line to the original unit	rétrotransformation de la droite de régression
bacopa monniera	bacopin
bacteraemia	bactériémie
Bacteria	Bactéries
Bacterial contamination	Contamination bactérienne
Bacterial invasion	Invasion bactérienne
Bactericidal agent	Agent bactéricide
Bactericidal	Bactéricide
bactericidal	bactéricide
Bacteriological	Bactériologique
bacteriology	bactériologie
bacterium	bactérie
Bactrim	bactrim
balance	equilibre
Bald	Chauve
Baldness	Calvitie
baldness	calvitie
ball-and-socket joint	articulation orbiculaire
balloon	ballonnet
balloon exchanges	changement de ballonnet
balloon gastrostomy tube	stomie à ballonnet
Balm	Baume
balm	baume
bamboo charcoal	fusain de bambou
bamboo hair	cheveu en bambou
band	bandelette
band	bande
band forms	formes à bâtonnet
band-like epigastric pain	en barre épigastrique
banff-1a subclinical acute rejection	Rejet aigu minime
barbiturate	barbiturique
Bar diagram	Diagramme en barres
barotrauma	barotraumatisme
Barrier cream	Crème barrière
basal cell	cellule basale
basal cells	cellules basales
Basal Medical Science	science médicale fondamentale
basal wall	paroi basal
based on incorrect notions as to	Mais tout cela repose sur ...
based on tricuspid regurgitation flow velocity	par le flux de
baseline pressure	pression de base
basic inferior infarction	infarctus inférieur rudimentaire
basophil	basophile
batch	lot
Bath oil	Huile de bain
Bayes' theorem	Théorème de Bayes
Beauty spot	Grain de beauté
become established	sinstaller
becomes common practice	passe dans les moeurs
bedpan	bassin
bed rest	repos au lit
Bed-sore	Escarre
bed-time	heure d'aller au lit
beet tops	fannes de betraves
behavioral	comportemental
behavioral disorder	troube de comportement
behavior	comportement
Behavioural epidemic	Epidémie de comportement
Behavioural risk factor	Facteur de risque lié au comportement
behaviour problems	troubles du comportement
bend	courber
bending	courbure
benefit	avantage
benefit	bénéfice
Benefit-cost ratio	Rapport avantages-coÝts
Benefit Utilization Department	Service dutilisation des prestations
Benign	Bénin
benign prostaic hyperplasia	hyperplasia prostatic bénin
Bennett's fracture	fracture de Bennett
benzodiazepines	benzodiazépines
beremi	bacopin
beremi	hysope d'eau
Berkson's bias	Biais de Berkson Biais de sélection
Bernoulli distribution	Distribution de Bernoulli
beta blockers	bêta-bloquants
beta carotene	bêta carotène
Beta error	Erreur de deuxième espèce Erreur de type bêta
Betaferon	Betaferon
Bias	Biais
Bias due to confounding	Biais lié aux facteurs de confusion Biais lié aux facteurs confondants
Bias due to digit preference	Biais lié à la préférence pour certains chiffres terminaux Biais d'arrondi
Bias due to instrumental error	Biais lié à l'instrument de mesure
Bias due to withdrawals	Biais lié aux retraits
Bias in assumption	Biais dans les prémisses
Bias in autopsy series	Biais dans les études basées sur les autopsies
Bias in handling outliers	Biais lié au traitement des valeurs extrêmes ou aberrantes
Bias in publication	Biais dans la publication des résultats
Bias in the presentation of data	Biais dans la présentation des données
Bias of an estimator	Biais d'un estimateur
Bias of interpretation	Biais d'interprétation
biceps muscle	biceps
bid	biquotidien
bid	bis in die
bid schedule	deux fois par jour
bifurcated	bifurqué
biliary colic	colique hépatique
Bill 33	Projet de la loi 33 du Québec
Bimodal distribution	Distribution bimodale
Binary variable	Variable binaire
binaural	prothese auditive stereophonique
binding	liaison
Binephrectomy	Binéphrectomie ou néphrectomie bilatérale
Binomial distribution	Distribution binomiale
bin with	durée de cycle
biocompatibility	biocompatibilité
biocompatible	biocompatible
biofeedback	biofeedback
biological activity	activité biologique
Biological License Application	Demande d'autorisation de mise sur le marché pour les produits biologiques et les produits issus d'un procédé biotechnologique
Biological plausibility	Plausibilité biologique
Biological transmission	Transmission biologique
Biometry	Biométrie
biopsy	biopsie
Biostatistics	Biostatistiques
biplane	en BP
bipolar disorder	troubles bi-polaire
bird arm	bras atrophié
bird pest	peste aviaire
Birth certificate	Certificat de naissance
Birth cohort analysis	Analyse de cohortes de naissance
Birth cohort	Cohorte de naissance
birth control	contraception
Birth defects	Anomalies congénitales
Birth interval	Intervalle entre deux naissances
Birthmark	Marque de naissance
birth mark	marque de naissance
Birth order	Rang de naissance
Birth rate	Taux de natalité
bisphosphonate	diphosphonate
Black Cohosh	Actée à grappe
blackout	etourdissement
B-lactam	B-lactamines
bladder distension	globe vésical
bladder impairment	atteinte vésicale
bladder infection	infection urinaire
bladder neck and prostatic obstruction	sclérose cervico-prostatique
bladder	vessie
blank	espace verte
bleeding	hémorragie
blepharitis	bl`epharite
blepharitis	blépharite
blinded batch no.	N° du lot en aveugle
Blind experiment	Expérience à l'aveugle
blind fistula	fistule borgne
blister	ampoule
Blister	Cloque
blister	cloque
blister package	plaquette thermoformée
blister strips	plaquettes thermoformées
Blocked randomization	Randomisation stratifiée
Blood Borne Pathogens	Pathogènes à diffusion hématogène
blood-brain barrier	barrière hémato-encéphalique
blood cell production	hemopoïèse
blood chemistries	biochimie sanguine
blood clot	caillot sanguin
blood clot	embolie artérielle
blood clots	caillots sanguins
blood clots	embolies artérielles
blood disease	hemothapie
blood disorders	troubles artériels
blood glucose test	HGT
Blood line	Tubulure de perfusion
blood platelet count	NF plaquettes
Blood pressure	BP
blood pressure	PA
blood	sang
blood sugar	la glycemie
blood transfusion	transfusion sanguine
blood type	groupe sanguin
blood typing	hémotypologie
bloody diarrhoea	diarrhée sanglante
blues	déprime
bodies	corps
bodies	corpuscules
body builders	anabolisants
body cavities	cavités du corps
body	corps
Body lice	Poux de corps
Body mass index	BMI
Body mass index	Indice de masse corporelle
Body odor	Odeur corporelle
body of the scapula	écaille de l'omoplate
Body surface area	BSA
boil	clou
Boil	Furoncle
bone block	butée osseuse
bone cell	cellule osseuse
bone graft	greffe osseuse
bone graft	greffon osseux
bone marrow	moelle osseuse
bone scans	scintigraphie
bone spur	bec-de-perroquet
bone stock	capital osseux
bone turnover	renouvellement des cellules osseuses
bone wedge	clavette osseuse
bony fusion	fusion osseuse
booster dose	dose de rappel
border cell	cellule bordante
boring pain	douleur térébrante
boron isotope B	isotope B du bore
Boron Neutron Capture Therapy	Thérapie par capture de neutrons par le bore
bother	gêner
bottle	biberon
bottle feeding	alimentation au biberon
bottulisme	bottulism
bound	fixé
bowel and bladder excretion	Préférences du patient en matière d'excrétion fécale et urinaire
bowel impairment	atteinte intestinale
bowel	intestin
bowel tendon	tendon fibrose
brachial fascia	aponévrose brachiale
brachiocarpal joint	articulation radio-carpienne
Brachiocephalic arterial trunk	BCAT
bradycardia	bradycardies
brain	cerveau
brain disorder	affection cérébrale
Brain freeze	Céphalée provoquée par le froid
brain metastases	métastases au cerveau
Brain natriuretic peptide	BNP
brain scan	scintigraphie du cerveau
brain surgery	chirurgie cérébrale
brain tumor	tumeur cérébrale
brain tumour	tumeur cérébrale
branches of medecine	disciplines médicales
branchial cartilage	cartilage branchial
Breach	Escarre
breakability test	essai de sécabilité
breakdown	defaillance nerveuse
breakdown	depression nerveuse
Breakpoint	Point de rupture
breast feeding	allaitement
breast feeding	allaitement maternel
Breast pump	Tire-lait
breath-holding attacks	spasmes du sanglot
breech position	la position anterieure
bridge	Pont dentaire
brightness	brillance
briser du systéme immunitaire	breakdown of immune system
brittle diabetes	diabète labile
Brittle nail syndrome	Ongles cassants
broad spectrum antibiotics	antibiotique à large spectre
bromine	brome
bromocriptine	bromocriptine
bronchitis	bronchite
bronchitis	bronchites
bronchopleural fistule	fistule broncho-pleurale
bronchoscopy	bronchoscopie
bronchospasm	bronchospasme
broncoscopy	bronchoscopie
Bulb	Bulbe
bulge	bombement
bulk	corpulence
bumper pads	tour de lit
bundle branch block  BBB	bloc de branche
Bunion	Oignon
bunion	oignon
buprenorphine	buprénorphine
burned-out fibrotic scarring or scare	cicatrice fibreuse d'involution spontanée
burning urination	brûlures mictionnelles
burnout	epuissement
Burn Wheel	Topographie des brûlures selon la méthode dite du Burn wheel'
bursa	bourse
bursectomy	bursectomie
bursitis	bursite
by abdominal incision	par voie haute
by Physician's Order	sur OM
by proliferation of the arachnoid membrane	Ci-Dessous
by retrograde transarterial approach using the right femoral artery	par abord trans-artériel rétrograde fémoral droit
bystander suppression	Effet immunosuppresseur non spécifique d'antigène
Byte	Octet
cable	câble
cable	fil métallique
cabon dioxide	gaz carbonique
caeco-colic junction	Jonction grêlo-colique
caesarean section	césarienne
caked breast	engorgement mammaire
calcaneocuboid joint	articulation calcanéo-cuboïdienne
calcaneus	calcaneum
calcification	calcification
calcified	calcifié
calcinosis circumscripta	calcinose cutanée
Calcitriol	Calcitriol
calcium and phosphorus levels	bilan phosphocalcique
Calcium Channel Blocker Products	Bloqueurs des canaux calciques
calcium citrate	citrate de calcium
calculus	calcul
calibration standard or calibrator	Point de gamme
calibrator	calibrateur
Caliper matching	Assortiment calibré
callus	cal osseux
camphor	camphre
camphor of the orient	camphre d'orient
Campylobacter	Campylobacter
Canadas Premier Health & Dental Benefits Specialist	Le grand spécialiste en prestations des soins de santé et dentaires au Canada
Canadian Institute for Health Information	Institut canadien dinformation sur la santé
Canadian Mental Health Association	Lassociation canadienne pour la santé mentale
canaliculus	canalicule
cancer	cancer
cancer causing	cancérigènes
cancer cell	cellule cancéreuse
cancer pain	douleurs néoplasiques
Cancer registry	Registre du cancer
cancer treatment	traitement contre le cancer
candidemia	candidémie
candidiasis by vagina	candidise vaginale
candididiasis by mouth	candidide buccale
cane crutches	cannes anglaises
Canker	Chancre
cannot be depolarized again	ne sera pas excité une deuxième fois
cannula	canule
capillary angioma	angiome capillaire simple
capillary	capillaire
capillary hemangioma	hémangiome plan
capped dispensing fee	honoraires professionnels plafonnés
capped ingredient costs	coûts plafonnés des ingrédients
cap polyposis	polypose duodénale
Capsule	Cpsl
capsule	gélule
capsulorrhaphy	capsulorraphie
capsulotomy	capsulotomie
captopril	captopril
caractère génetique	potreur d'une trait
carbamazepine	carbamézapine
carbohydates	hydrates de carbonne
carbohydrate	glucide
carbohydrates	glucides
carboplatin	carboplatine
carboy	la dame-jeanne
carbuncle	anthrax
Carcinogen	Carcinogène
carcinogenic	carcinogénique
carcinogenicity	carcinogénécité
carcinogenicity testing	tests de carcinogénécité
Carcinogenic substances	Substances carcinogéniques
Carcinoma	Carcinomes
cardiac arrest	arrêt cardiaque
cardiac arrest	arrêt du coeur
cardiac arrhythmias	arythmies cardiaques
cardiac depression	dépression cardiaque
cardiac index	index cardiaque
Cardiac intensive care unit	CICU
cardiac output  CO	débit cardiaque
cardiac output	débit cardiaque
cardiodepressant effect	action depressive cardiaque
cardiologist	cardiologue
cardiology	cardiologie
cardiomyopathy	cardiomyopathie
cardiopathy	cardiopathie
cardiopulmonary	cardiopulmonaire
cardiotomy	cardiotomie
cardiotonic	cardiotonique
cardiovascular	cardio-vasculaire
cardiovascular	cardiovasculaire
cardiovascular collapse	collapsus cardiovasculaire
Cardiovascular	CV
Cardiovascular disease	CD
Cardiovascular risk factors	CVRF
Cardiovascular surgery	CVS
carotene	carotène
carpal tunnel	syndrome canal carpien
carpal tunnel syndrome	Syndrome du canal carpien
carpectomy	carpectomie
Carrier	Porteur
carrier	porteur
carrying out the patch test	réalisation de la touche dessai
carry over effect	effet de rémanence
cartilage cell	cellule cartilagineuse
cartilages	cartilages
cartridge	cartouche
Case-base study	Etude cas-population
Case	Cas
case	cas
Case comparison study	Etude cas-témoins
Case compeer study	Etude cas-témoins
case conferences	cours des synthèses
case control study	devis cas-temoin
Case control study	Etude cas-témoins
Case fatality rate	Taux de mortalité parmi les nouveaux cas Taux de létalité
Case history study	Clinique:  étude d'une série de cas Epidémiologie:  étude cas-témoins
Case referent study	Etude cas-témoins
cash advance	avance en especes
catabolism	catabolisme
catamenial seizure	crise cataméniale
cataracta	cataracte
catchment area	territoire d'appartenance
catecholamines	catécholamines
category	catégorie
catheter	cathéter
catheter shaft	corps du cathéter
cat scan	scanner
