241	questions	questions	118.19	258.46471956577926	0.7739564486325117
507	lines	plans	28.0	64.61617989144482	0.8008242440105579
392	family	famille	27.16	64.61617989144482	0.8302072602555892
281	lasts	dure	26.16	64.61617989144482	0.866351418705614
354	years	années	186.61	452.3132592401137	0.8799563505013789
354	years	années	186.61	452.3132592401137	0.8799563505013789
204	mid-1960s	années	186.61	452.3132592401137	0.8799563505013789
516	years	années	186.61	452.3132592401137	0.8799563505013789
357	years	années	186.61	452.3132592401137	0.8799563505013789
516	years	années	186.61	452.3132592401137	0.8799563505013789
358	years	années	186.61	452.3132592401137	0.8799563505013789
101	days	jours	426.7	1033.858878263117	0.8826081685496725
180	days	jours	426.7	1033.858878263117	0.8826081685496725
105	days	jours	426.7	1033.858878263117	0.8826081685496725
100	patients	jours	426.7	1033.858878263117	0.8826081685496725
567	days	jours	426.7	1033.858878263117	0.8826081685496725
106	days	jours	426.7	1033.858878263117	0.8826081685496725
116	days	jours	426.7	1033.858878263117	0.8826081685496725
116	days	jours	426.7	1033.858878263117	0.8826081685496725
281	days	jours	426.7	1033.858878263117	0.8826081685496725
151	projects	projets	25.41	64.61617989144482	0.8943435430496911
118	agents	agents	25.0	64.61617989144482	0.9099837626833104
260	grandparents	parents	177.04	452.3132592401137	0.9323105814753971
254	grandparents	parents	177.04	452.3132592401137	0.9323105814753971
260	grandparents	parents	177.04	452.3132592401137	0.9323105814753971
257	grandparents	parents	177.04	452.3132592401137	0.9323105814753971
306	first	première	197.34	516.9294391315585	0.9578732368633673
3	first	première	197.34	516.9294391315585	0.9578732368633673
80	first	première	197.34	516.9294391315585	0.9578732368633673
67	first	première	197.34	516.9294391315585	0.9578732368633673
77	error	erreur	22.82	64.61617989144482	0.9975195510332197
218	patients	heures	294.39	840.0103385887826	1.045083829508128
113	hour	heures	294.39	840.0103385887826	1.045083829508128
150	hours	heures	294.39	840.0103385887826	1.045083829508128
198	hours	heures	294.39	840.0103385887826	1.045083829508128
195	horses	chevaux	43.7	129.23235978288963	1.0614148324579267
196	horses	chevaux	43.7	129.23235978288963	1.0614148324579267
51	student	étudiant	21.22	64.61617989144482	1.0670221141677654
447	strong	forte	42.42	129.23235978288963	1.0904615761570853
357	males	garçons	63.09	193.84853967433446	1.1066327668853557
354	males	garçons	63.09	193.84853967433446	1.1066327668853557
282	weeks	semaines	104.84	323.08089945722406	1.1158797569970966
282	weeks	semaines	104.84	323.08089945722406	1.1158797569970966
391	weeks	semaines	104.84	323.08089945722406	1.1158797569970966
72	weeks	semaines	104.84	323.08089945722406	1.1158797569970966
394	weeks	semaines	104.84	323.08089945722406	1.1158797569970966
204	young	jeune	62.12	193.84853967433446	1.121881038432446
436	former	ancienne	19.82	64.61617989144482	1.1320705868709897
152	new	nouveau	82.08	258.46471956577926	1.134834845586871
529	human	humains	18.15	64.61617989144482	1.215640069601156
203	interests	intérêts	17.46	64.61617989144482	1.2523170479327217
380	types	types	54.23	193.84853967433446	1.255389802270889
400	types	types	54.23	193.84853967433446	1.255389802270889
373	types	types	54.23	193.84853967433446	1.255389802270889
498	alive	vivants	17.16	64.61617989144482	1.2686929597357905
522	peripheral	nerveux	16.99	64.61617989144482	1.2780930842477058
415	result	résultat	34.31	129.23235978288963	1.2971626469680564
408	result	résultat	34.31	129.23235978288963	1.2971626469680564
235	same	mêmes	33.61	129.23235978288963	1.3171804729557528
517	high	haute	32.44	129.23235978288963	1.3515602361295784
206	human	humain	32.37	129.23235978288963	1.3536551044701268
438	human	humain	32.37	129.23235978288963	1.3536551044701268
33	instruction	instructions	15.46	64.61617989144482	1.3669242979543215
580	best	meilleures	15.25	64.61617989144482	1.379756738024206
442	population	habitants	15.21	64.61617989144482	1.3822197934566036
536	signs	signes	15.0	64.61617989144482	1.395251315135247
363	event	événement	14.96	64.61617989144482	1.3977528799169494
295	evidence	preuve	46.75	193.84853967433446	1.4008886617276337
7	evidence	preuve	46.75	193.84853967433446	1.4008886617276337
373	point	lieu	28.73	129.23235978288963	1.4691190816718067
365	MPs	médecins	27.84	129.23235978288963	1.4995020297497073
56	Physicians	médecins	27.84	129.23235978288963	1.4995020297497073
113	consequences	conséquences	13.36	64.61617989144482	1.503322142052937
435	Pierre	Pierre	26.6	129.23235978288963	1.5434339967617525
258	topics	sujets	12.51	64.61617989144482	1.5642947715290525
197	control	témoin	25.43	129.23235978288963	1.5867340077203302
68	terms	termes	11.96	64.61617989144482	1.605825843815518
296	surgery	opérations	11.94	64.61617989144482	1.6073690539983236
396	decisions	décisions	11.85	64.61617989144482	1.6143431233343972
61	gap	vide	11.8	64.61617989144482	1.6182387262352276
414	deep	profonde	11.71	64.61617989144482	1.6252892842318942
178	drugs	drogues	11.56	64.61617989144482	1.6371518195417145
63	species	espèce	11.47	64.61617989144482	1.6443374792025889
373	numbers(MAN	numéros	11.4	64.61617989144482	1.6499622429273546
470	normal	normale	23.74	129.23235978288963	1.6527865336891165
495	females	femmes	242.75	1292.3235978288963	1.6680129810204078
79	Women	femmes	242.75	1292.3235978288963	1.6680129810204078
75	women	femmes	242.75	1292.3235978288963	1.6680129810204078
406	females	femmes	242.75	1292.3235978288963	1.6680129810204078
432	women	femmes	242.75	1292.3235978288963	1.6680129810204078
430	women	femmes	242.75	1292.3235978288963	1.6680129810204078
422	women	femmes	242.75	1292.3235978288963	1.6680129810204078
420	women	femmes	242.75	1292.3235978288963	1.6680129810204078
76	women	femmes	242.75	1292.3235978288963	1.6680129810204078
406	females	femmes	242.75	1292.3235978288963	1.6680129810204078
77	women	femmes	242.75	1292.3235978288963	1.6680129810204078
397	women	femmes	242.75	1292.3235978288963	1.6680129810204078
69	Women	femmes	242.75	1292.3235978288963	1.6680129810204078
388	women	femmes	242.75	1292.3235978288963	1.6680129810204078
390	women	femmes	242.75	1292.3235978288963	1.6680129810204078
395	women	femmes	242.75	1292.3235978288963	1.6680129810204078
58	consequences	risques	23.36	129.23235978288963	1.668259155066701
112	home	maison	35.44	193.84853967433446	1.6711356723573132
115	home	maison	35.44	193.84853967433446	1.6711356723573132
257	home	maison	35.44	193.84853967433446	1.6711356723573132
439	important	important	35.29	193.84853967433446	1.6752593895411754
524	significant	importante	35.29	193.84853967433446	1.6752593895411754
560	surveillance	mouvement	11.07	64.61617989144482	1.6769136496372017
434	French	française	11.03	64.61617989144482	1.6802304022631955
354	tools	outils	10.56	64.61617989144482	1.7200493009382853
522	organs	organes	10.55	64.61617989144482	1.720913978899639
413	contact	contact	10.27	64.61617989144482	1.7454335960739578
112	contact	contacts	10.27	64.61617989144482	1.7454335960739578
201	clear	claire	21.21	129.23235978288963	1.7606192384923318
365	care	service	31.67	193.84853967433446	1.780313860820178
247	test	test	20.5	129.23235978288963	1.793094079424177
553	testing	test	20.5	129.23235978288963	1.793094079424177
190	symptoms	Symptômes	9.61	64.61617989144482	1.8057258263300777
501	ways	moyens	30.2	193.84853967433446	1.8263385745292922
132	mean	moyens	30.2	193.84853967433446	1.8263385745292922
362	threat	menace	9.28	64.61617989144482	1.8372922922979122
435	sources	sources	9.11	64.61617989144482	1.853951178284551
397	new	nouveaux	39.17	258.46471956577926	1.8613898438769727
380	point	point	38.62	258.46471956577926	1.8751727960614177
365	point	point	38.62	258.46471956577926	1.8751727960614177
446	private	privé	18.8	129.23235978288963	1.8754251619933562
448	private	privé	18.8	129.23235978288963	1.8754251619933562
154	difficulty	difficulté	8.89	64.61617989144482	1.8759300850033263
143	real	réel	8.88	64.61617989144482	1.8769406965092497
181	other	autres	117.61	775.3941586973378	1.8774463855212904
169	other	autres	117.61	775.3941586973378	1.8774463855212904
443	other	autres	117.61	775.3941586973378	1.8774463855212904
202	further	autres	117.61	775.3941586973378	1.8774463855212904
182	other	autres	117.61	775.3941586973378	1.8774463855212904
85	effective	complète	8.84	64.61617989144482	1.880993386959873
434	century	siècle	18.48	129.23235978288963	1.8917105091843462
490	unnecessary	inutile	8.66	64.61617989144482	1.8994365326786675
338	advice	conseils	18.29	129.23235978288963	1.9015069267929758
117	advice	conseils	18.29	129.23235978288963	1.9015069267929758
546	useful	utiles	8.52	64.61617989144482	1.9140201244777597
145	responses	réponses	17.87	129.23235978288963	1.923508861986461
74	responses	réponses	17.87	129.23235978288963	1.923508861986461
479	children	familles	27.16	193.84853967433446	1.928819548923699
260	families	familles	27.16	193.84853967433446	1.928819548923699
418	chronic	graves	8.29	64.61617989144482	1.9384504419846604
505	village	village	8.22	64.61617989144482	1.9460057936291097
250	odds	chances	26.58	193.84853967433446	1.9496237425827856
251	odds	chances	26.58	193.84853967433446	1.9496237425827856
237	instrument	instrument	8.08	64.61617989144482	1.9612899339544831
110	novel	nouvelle	34.65	258.46471956577926	1.9807295908287668
549	novel	nouvelle	34.65	258.46471956577926	1.9807295908287668
206	novel	nouvelle	34.65	258.46471956577926	1.9807295908287668
356	individuals	personnes	105.79	775.3941586973378	1.9824135654057762
373	respondents	personnes	105.79	775.3941586973378	1.9824135654057762
204	capacity	capacités	7.87	64.61617989144482	1.9846632851397916
259	project	projet	25.41	193.84853967433446	1.9929558317178009
257	initiative	projet	25.41	193.84853967433446	1.9929558317178009
297	benefit	avantages	7.68	64.61617989144482	2.00629190286657
408	same	même	33.61	258.46471956577926	2.010327653515698
260	grandparents	grands	59.52	452.3132592401137	2.0112358812955877
260	grandparents	grands	59.52	452.3132592401137	2.0112358812955877
257	grandparents	grands	59.52	452.3132592401137	2.0112358812955877
254	grandparents	grands	59.52	452.3132592401137	2.0112358812955877
112	large	grands	59.52	452.3132592401137	2.0112358812955877
260	grandparents	grands	59.52	452.3132592401137	2.0112358812955877
509	exact	exacte	7.55	64.61617989144482	2.0213646519902198
286	client	propriétaires	7.5	64.61617989144482	2.0272228995585877
132	used	employés	15.9	129.23235978288963	2.0337068597933268
21	assessed	employés	15.9	129.23235978288963	2.0337068597933268
469	central	centrale	7.33	64.61617989144482	2.0474016257732153
369	drivers	moteurs	7.32	64.61617989144482	2.048601385965119
434	professional	professionnelle	7.13	64.61617989144482	2.0716746621294213
260	generations	générations	7.13	64.61617989144482	2.0716746621294213
412	waters	eaux	15.14	129.23235978288963	2.07969197303515
415	waters	eaux	15.14	129.23235978288963	2.07969197303515
368	information	informations	39.3	323.08089945722406	2.0813031774488966
491	information	informations	39.3	323.08089945722406	2.0813031774488966
350	advice	informations	39.3	323.08089945722406	2.0813031774488966
550	information	informations	39.3	323.08089945722406	2.0813031774488966
411	information	informations	39.3	323.08089945722406	2.0813031774488966
350	easy	claires	7.05	64.61617989144482	2.0815512856253333
204	conversation	conversation	7.03	64.61617989144482	2.084035758952995
33	different	différents	22.67	193.84853967433446	2.102446320796175
305	different	différents	22.67	193.84853967433446	2.102446320796175
57	different	différents	22.67	193.84853967433446	2.102446320796175
56	work	travail	22.4	193.84853967433446	2.113913849309161
255	work	travail	22.4	193.84853967433446	2.113913849309161
62	study	travail	22.4	193.84853967433446	2.113913849309161
110	crisis	crise	6.64	64.61617989144482	2.133759194305426
320	masturbation	échantillons	6.51	64.61617989144482	2.150898704182122
320	concentrations	échantillons	6.51	64.61617989144482	2.150898704182122
256	opportunity	occasion	6.5	64.61617989144482	2.1522293763678273
196	tissue	tissu	6.48	64.61617989144482	2.1548960446147425
155	rapid	rapide	6.45	64.61617989144482	2.158909427928201
415	rapid	rapides	6.45	64.61617989144482	2.158909427928201
155	scientific	scientifique	6.4	64.61617989144482	2.1656344028358747
554	individuals	individus	6.34	64.61617989144482	2.173764528919125
116	schedule	horaires	6.3	64.61617989144482	2.1792215683821836
391	visits	visites	13.6	129.23235978288963	2.179905796941208
394	visits	visites	13.6	129.23235978288963	2.179905796941208
360	policy	politique	13.2	129.23235978288963	2.2076660805948065
117	clear	clairs	5.89	64.61617989144482	2.236943430540657
237	task	tâche	5.81	64.61617989144482	2.2486053702885
255	tasks	tâches	5.81	64.61617989144482	2.2486053702885
31	room	salles	5.81	64.61617989144482	2.2486053702885
506	efforts	efforts	19.44	193.84853967433446	2.2490942483231695
235	former	premiers	19.36	193.84853967433446	2.253013900573266
246	Multiple	multiples	5.76	64.61617989144482	2.255963755219687
20	Information	information	39.3	387.6970793486689	2.263624734242851
548	information	information	39.3	387.6970793486689	2.263624734242851
258	information	information	39.3	387.6970793486689	2.263624734242851
547	information	information	39.3	387.6970793486689	2.263624734242851
552	information	information	39.3	387.6970793486689	2.263624734242851
435	database	fichier	5.69	64.61617989144482	2.26635731574695
464	sensitive	sensible	5.67	64.61617989144482	2.2693468545953164
144	perspectives	points	38.62	387.6970793486689	2.280637904169582
184	point	points	38.62	387.6970793486689	2.280637904169582
20	menus	commandes	11.96	129.23235978288963	2.298973024375463
257	Chinese	chinois	5.47	64.61617989144482	2.2997443317796873
578	Sports	Sports	5.42	64.61617989144482	2.3074903038943426
498	lost	perdus	5.39	64.61617989144482	2.3121668517782443
321	muscle	muscles	11.75	129.23235978288963	2.315296744787172
456	collected	prises	5.33	64.61617989144482	2.321586073694736
117	communication	communication	5.29	64.61617989144482	2.3279152087463837
418	forms	forme	11.58	129.23235978288963	2.32870917464756
509	remains	reste	11.44	129.23235978288963	2.3398913997930992
420	remains	reste	11.44	129.23235978288963	2.3398913997930992
529	reactions	réactions	5.17	64.61617989144482	2.347146570674271
536	reaction	réaction	5.17	64.61617989144482	2.347146570674271
322	following	suivant	11.2	129.23235978288963	2.3593567345812025
345	reserve	emploi	4.98	64.61617989144482	2.3783734300165125
363	patient	patient	22.49	258.46471956577926	2.397758782113648
135	patient	patient	22.49	258.46471956577926	2.397758782113648
132	patient	patient	22.49	258.46471956577926	2.397758782113648
317	drop	changement	10.7	129.23235978288963	2.40116884509419
360	change	changement	10.7	129.23235978288963	2.40116884509419
446	public	public	16.5	193.84853967433446	2.4043049845142197
120	public	public	16.5	193.84853967433446	2.4043049845142197
263	pandemic	outil	10.56	129.23235978288963	2.4131964814982307
363	medical	médical	10.41	129.23235978288963	2.4262458184759517
127	medical	médical	10.41	129.23235978288963	2.4262458184759517
385	chain	chaîne	10.4	129.23235978288963	2.4271218588298313
378	chain	chaîne	10.4	129.23235978288963	2.4271218588298313
202	positive	positif	4.63	64.61617989144482	2.438580776633903
301	general	générale	10.27	129.23235978288963	2.438580776633903
124	conditions	conditions	21.12	258.46471956577926	2.4578250492008027
138	conditions	conditions	21.12	258.46471956577926	2.4578250492008027
252	conditions	conditions	21.12	258.46471956577926	2.4578250492008027
18	legal	légal	4.51	64.61617989144482	2.4600869818548667
519	long	long	54.12	646.1617989144481	2.461355902536324
519	long	long	54.12	646.1617989144481	2.461355902536324
516	long	long	54.12	646.1617989144481	2.461355902536324
518	long	long	54.12	646.1617989144481	2.461355902536324
509	long	long	54.12	646.1617989144481	2.461355902536324
511	long	long	54.12	646.1617989144481	2.461355902536324
347	income	revenus	4.49	64.61617989144482	2.4637167499054455
492	managed	pris	4.46	64.61617989144482	2.4691862257099806
414	depths	profondeurs	4.46	64.61617989144482	2.4691862257099806
394	supports	services	31.67	387.6970793486689	2.4734610413801237
388	services	services	31.67	387.6970793486689	2.4734610413801237
439	services	services	31.67	387.6970793486689	2.4734610413801237
397	services	services	31.67	387.6970793486689	2.4734610413801237
396	service	services	31.67	387.6970793486689	2.4734610413801237
241	sessions	séances	4.43	64.61617989144482	2.4746857812760195
206	beginnings	débuts	4.43	64.61617989144482	2.4746857812760195
413	electrical	électrique	4.41	64.61617989144482	2.4783690266923157
435	doctors	docteurs	9.72	129.23235978288963	2.4885684660612086
433	degree	docteurs	9.72	129.23235978288963	2.4885684660612086
493	entered	entrées	4.33	64.61617989144482	2.493239189171767
395	serves	offre	4.32	64.61617989144482	2.4951136039661175
190	Lower	bas	9.54	129.23235978288963	2.5054861627817404
412	times	moment	30.34	387.6970793486689	2.5150100442929957
127	doses	doses	4.21	64.61617989144482	2.515967440249323
436	imperial	impériale	4.21	64.61617989144482	2.515967440249323
507	conflicts	conflits	4.16	64.61617989144482	2.5255921536235326
333	independent	indépendant	4.08	64.61617989144482	2.5411870115814392
129	unit	unité	14.18	193.84853967433446	2.546439814204299
132	unit	unité	14.18	193.84853967433446	2.546439814204299
132	unit	unité	14.18	193.84853967433446	2.546439814204299
152	discussions	discussions	4.05	64.61617989144482	2.5470983588444964
149	members	membres	29.34	387.6970793486689	2.5474277938664183
152	members	membres	29.34	387.6970793486689	2.5474277938664183
149	members	membres	29.34	387.6970793486689	2.5474277938664183
148	members	membres	29.34	387.6970793486689	2.5474277938664183
152	opportunities	possibilités	9.08	129.23235978288963	2.550067188338298
389	opportunities	possibilités	9.08	129.23235978288963	2.550067188338298
409	pathways	voies	9.05	129.23235978288963	2.5530448580322225
87	methods	voies	9.05	129.23235978288963	2.5530448580322225
317	free	libre	24.06	323.08089945722406	2.5562308424077687
316	free	libre	24.06	323.08089945722406	2.5562308424077687
152	numerous	nombreux	14.01	193.84853967433446	2.5576944844759915
111	many	nombreux	14.01	193.84853967433446	2.5576944844759915
399	many	nombreuses	14.01	193.84853967433446	2.5576944844759915
523	fiber	fibres	3.97	64.61617989144482	2.563034951107309
90	Components	éléments	13.83	193.84853967433446	2.569750893072746
377	failures	échecs	8.84	129.23235978288963	2.574140567519818
384	failures	échecs	8.84	129.23235978288963	2.574140567519818
521	gene	gène	3.9	64.61617989144482	2.5771909003374414
377	danger	danger	3.87	64.61617989144482	2.5833196222788146
117	living	vivant	28.12	387.6970793486689	2.5884557404005823
18	residing	vivant	28.12	387.6970793486689	2.5884557404005823
40	general	généraux	3.83	64.61617989144482	2.59155012141533
383	classes	classes	8.53	129.23235978288963	2.6061185372436206
376	classes	classes	8.53	129.23235978288963	2.6061185372436206
473	useful	utile	8.52	129.23235978288963	2.6071673050377053
59	mere	simple	13.12	193.84853967433446	2.6187769341155445
204	extraordinary	extraordinaire	3.65	64.61617989144482	2.629449394006316
227	Trials	Enregistrement	3.58	64.61617989144482	2.644584818071417
433	Paris	Paris	12.68	193.84853967433446	2.6504114915116226
435	Paris	Paris	12.68	193.84853967433446	2.6504114915116226
436	Paris	Paris	12.68	193.84853967433446	2.6504114915116226
403	records	dossiers	21.71	323.08089945722406	2.6546571607250202
390	charts	dossiers	21.71	323.08089945722406	2.6546571607250202
493	records	dossiers	21.71	323.08089945722406	2.6546571607250202
435	files	dossiers	21.71	323.08089945722406	2.6546571607250202
548	dimensionality	dimension	3.52	64.61617989144482	2.657742902648928
49	student	étudiants	21.22	323.08089945722406	2.6764600266018657
435	student	étudiants	21.22	323.08089945722406	2.6764600266018657
18	students	étudiants	21.22	323.08089945722406	2.6764600266018657
47	students	étudiants	21.22	323.08089945722406	2.6764600266018657
137	savings	économie	7.77	129.23235978288963	2.6891356150567907
137	savings	économie	7.77	129.23235978288963	2.6891356150567907
138	savings	économies	7.77	129.23235978288963	2.6891356150567907
204	experience	expérience	16.52	258.46471956577926	2.690845504330618
71	experience	expérience	16.52	258.46471956577926	2.690845504330618
70	experience	expérience	16.52	258.46471956577926	2.690845504330618
432	step	étape	3.34	64.61617989144482	2.698288997043278
349	distance	priorité	3.31	64.61617989144482	2.7052094398878515
94	resources	priorités	3.31	64.61617989144482	2.7052094398878515
196	cells	cellules	11.92	193.84853967433446	2.7075269380282143
195	cells	cellules	11.92	193.84853967433446	2.7075269380282143
193	cells	cellules	11.92	193.84853967433446	2.7075269380282143
321	loss	perte	7.6	129.23235978288963	2.7086877042641766
548	loss	perte	7.6	129.23235978288963	2.7086877042641766
57	locations	sites	3.26	64.61617989144482	2.7168510149033374
231	research	recherches	28.6	452.3132592401137	2.7262628490856837
452	interventions	recherches	28.6	452.3132592401137	2.7262628490856837
397	research	recherches	28.6	452.3132592401137	2.7262628490856837
82	research	recherches	28.6	452.3132592401137	2.7262628490856837
204	research	recherches	28.6	452.3132592401137	2.7262628490856837
388	maternal	maternelle	3.17	64.61617989144482	2.738153595607206
42	chairs	chaises	7.33	129.23235978288963	2.7405488063331602
46	chairs	chaises	7.33	129.23235978288963	2.7405488063331602
68	species	espèces	11.47	193.84853967433446	2.7429497678706984
392	single	célibataires	3.15	64.61617989144482	2.7429497678706984
194	species	espèces	11.47	193.84853967433446	2.7429497678706984
63	species	espèces	11.47	193.84853967433446	2.7429497678706984
150	proposal	proposition	3.15	64.61617989144482	2.7429497678706984
219	plane	plan	28.0	452.3132592401137	2.746734393065871
302	total	totale	15.26	258.46471956577926	2.7654362820328147
137	total	totale	15.26	258.46471956577926	2.7654362820328147
385	measure	mesure	11.14	193.84853967433446	2.7697479610254225
378	measure	mesure	11.14	193.84853967433446	2.7697479610254225
197	block	blocs	3.03	64.61617989144482	2.7722201501708117
435	article	article	11.06	193.84853967433446	2.77635409570254
8	articles	articles	11.06	193.84853967433446	2.77635409570254
505	article	article	11.06	193.84853967433446	2.77635409570254
5	article	articles	11.06	193.84853967433446	2.77635409570254
259	article	article	11.06	193.84853967433446	2.77635409570254
7	articles	articles	11.06	193.84853967433446	2.77635409570254
436	capital	capitale	2.97	64.61617989144482	2.787183022847524
36	discreet	discret	2.96	64.61617989144482	2.7896987474447714
43	table	table	6.92	129.23235978288963	2.790958987057059
43	table	table	6.92	129.23235978288963	2.790958987057059
438	systems	systèmes	10.8	193.84853967433446	2.798130500602709
94	program	systèmes	10.8	193.84853967433446	2.798130500602709
377	systems	systèmes	10.8	193.84853967433446	2.798130500602709
523	tunnel	canal	2.9	64.61617989144482	2.804927468146596
583	changes	changements	10.7	193.84853967433446	2.8066339532023545
123	changes	changements	10.7	193.84853967433446	2.8066339532023545
401	material	matériaux	2.83	64.61617989144482	2.822992475544235
72	completed	rempli	6.64	129.23235978288963	2.8269063748653713
148	filled	rempli	6.64	129.23235978288963	2.8269063748653713
393	characteristic	caractéristique	2.81	64.61617989144482	2.8282144195253864
309	Hormones	tentatives	2.81	64.61617989144482	2.8282144195253864
191	emergency	urgence	14.24	258.46471956577926	2.8301797002103406
157	emergencies	urgence	14.24	258.46471956577926	2.8301797002103406
206	technology	technologie	2.79	64.61617989144482	2.83346377541153
202	bacteria	bactéries	2.79	64.61617989144482	2.83346377541153
193	products	produits	14.17	258.46471956577926	2.834780431296277
377	products	produits	14.17	258.46471956577926	2.834780431296277
195	products	produits	14.17	258.46471956577926	2.834780431296277
518	short	court	14.07	258.46471956577926	2.841389840683951
509	short	court	14.07	258.46471956577926	2.841389840683951
511	short	court	14.07	258.46471956577926	2.841389840683951
515	short	court	14.07	258.46471956577926	2.841389840683951
68	knowledge	connaissances	6.47	129.23235978288963	2.84937923071743
260	knowledge	connaissances	6.47	129.23235978288963	2.84937923071743
258	traditional	traditionnelle	2.72	64.61617989144482	2.8520566084881462
192	significant	importantes	13.8	258.46471956577926	2.859456574984054
81	important	importantes	13.8	258.46471956577926	2.859456574984054
413	prominent	importantes	13.8	258.46471956577926	2.859456574984054
389	research	recherche	28.6	516.9294391315585	2.8597942417102065
145	research	recherche	28.6	516.9294391315585	2.8597942417102065
